a0_address,b0_price,c0_unit_price,d0_unitPercent,e0_income,f0_remuneration,g0_multiplier,h0_agreement_term,i0_agreement_remaining,j0_agreement_age,k0_total_unit,l0_rePerUnit,m0_owner_occupy,n0_letting,o0_iPerRent,p0_look_ups,q0_outside_agents,r0_manager_bed,s0_manager_bathroom,t0_manager_car,u0_office,v0_office_hour,w0_agency,x0_agent,y0_complex_fetures,z0_url,z1_title,z2_description,z3_unit_feature,z4_pets,z5_last_update,z6_property_id
"Bulimba,","$2,123,000 THREE COMPLEXES",1078000,0,205000,141390,5.1,"0 years,","0 years,","0 years,",97,1457.63,54,30,2120.33,0,13,3,2, 2,0," As per agreements,
                        ", Management Rights Sales,"Greg Jorgensen,Greg Jorgensen"," Swimming pools, BBQs, Security parking, Gym, Storage, Cable TV, CCTV, Broadband and Wi-Fi
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3883156,"QUALITY, STYLE, LOCATION, OPPORTUNITY - ID 8892
              ","Brisbane Management Rights For Sale,Management Rights are rarely sold in the prestigious suburb of Bulimba, and with a restricted number available this is definitely an opportunity to consider.,This unique business is a combined lifestyle and income, which is superbly set up. Located river side and park side, within the highly reputable suburb of Bulimba. This profitable premium management rights consists of 3 separate buildings, boasting the best quality facilities in Bulimba, which makes the apartments easy to rent for a premium.  It is also a short walk to Bulimbas renowned Restaurant and shopping precinct in Oxford Street.,- High Quality,- Long term agreements,- Strong rental yield location,- Revenue growth opportunities,- Manageable caretaking duties,- Stunning premier apartments,- Separate custom designed office,- Large managers apartment,- No set office hours,Managers residence is a beautifully appointed apartment:,- 3 bedrooms,- 2 bathrooms,- Ducted Air Conditioning,- SMEG appliances,- Stone bench tops,- Large balcony,- 2 car parks,- Courtyard,- Freshly Painted,- Separate connecting office,Resident exclusive amenities include 20m lap pool, pool side BBQ, sun lounge area, gym, and secure car parking. Beyond the apartment, enjoy an easy stroll and the convenience to City Cat terminal, shopping, dining, parks, play grounds, sporting clubs and schools.,This complex is pet friendly and a short stroll to nearby Bulimba River Park with off leash dog area. Picturesque Bulimba is an outstanding postcode and offers the complete package. Bustling Oxford Street is close at hand, City Cat and bus services are within walking distance with services to the CBD.,Every lifestyle component is really at your fingertips. Its a large size secure income business, with remuneration weight over 60% of current gross net income. The added benefits of such a wonderfully situated community this business is an extremely attractive buy. Well designed building lay out with common areas, completed to a high standard in comparison with the majority of competing product.,Net Profit: $205,000,Asking Price: $2,123,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this Brisbane management rights business for sale contact:,Exclusive Broker,Greg Jorgensen,Servicing QLD "," Well appointed inner city town home, High quality design, Open plan, High ceilings, Ducted air conditioning, Smeg appliances, Large balcony
                       ","No,", 2 weeks ago., 3883156
"Indooroopilly,",1953485,606500,0.31,292823,124950,4.6,"25 years,","25 years,","0 years,",119,1050.0,0,83,2022.57,0,0,3,3, 1,0," ,
                        ", Resort Brokers,"Nathan Eades,Nathan Eades"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Indooroopilly-QLD-3853755,"The Best of the West? OTP Complex in Indooroopilly | Resort Brokers ID : OTP004668
              ",Westside Indooroopilly is destined to be one of the jewel in the Brisbane Management Rights market. Arguably the best complex in the area in recent times netting well over $300k.," 
                       ","no,", 1 year ago., 3853755
"Hillcrest,",1030000,420000,0.41,133000,45600,4.6,"24 years,","24 years,","3 years,",38,1200.0,2,36,2427.78,0,0,3,2, 2,1," ,
                        ", Management Rights Sales,"Tony Johnson,Tony Johnson"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3881699,"QUALITY RESIDENCE FOR PERMANENT COMPLEX
              ","Phillip Usher Special,Small Brisbane Southside Permanent Complex,- Small southside permanent complex only 2 years old,- Low maintenance grounds, no pool,- Quality 3 bedroom residence with attached office and DLUG,- 36/38 in the letting pool,- Quiet area with good amenities nearby,- This complex would suit a first time operator or as an add on for an experienced operator,- This is a single person operation if I have ever seen one. This truly is as easy as it gets,The quality residence makes it ideal for a growing family or for a couple. Large living area, quality kitchen with stone benchtops and stainless steel appliances. Dining area flows to outdoor area and private courtyard. There is also an attached office and double remote garage. The manager also has a garden shed for equipment and supplies.The low maintenance grounds ensure this is a part time operation and if run by a couple would allow at least one person to work offsite full time if desired,In this price bracket permanent complexes do not come any better,Net Profit: $133,000,Asking Price: $1,030,000,(inclusive of managers real estate),For further information on this permanent management rights opportunity contact:,Exclusive Broker,Tony Johnson, "," 3 bedroom townhouse, 2 bathrooms, Private courtyard, Double lock up garage, Main bedroom with ensuite
                       ","No,", 3 weeks ago., 3881699
"RIVERHILLS,",510000,390000,0.76,40000,40000,3.0,"25 years,","21 years,","0 years,",26,1538.46,17,8,0.0,0,0,4,0, 0,1," ,
                        ", Raas Group,"Robert Collins,Robert Collins"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/RIVERHILLS-QLD-3882875,"simple quiet complex
              ","Quiet hilltop location, good aspect. Minimum duties. Large managers unit. ,Please contact Exclusive Agent Robert Collins on or , "," 
                       ","Yes,", 3 weeks ago., 3882875
"Springwood,",1070000,325000,0.3,140010,70599,4.8,"0 years,","19 years,","0 years,",,0,0,45,0,0,0,2,0, 0,1," None,
                        ", Next International Realty Pty Ltd,"Patrick Leou - David Janett,Patrick Leou - David Janett"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3882644,"Can live Offsite!!
              ","Live Onsite or Offsite, the choice is yours!,This complex still has 19 years on the agreement and offers excellent long-term permanent letting with a solid rental history record. We are talking over 65% of total units in the letting. Gated complex, ample visitor carpark, perfectly well maintain pool. Its a short stroll to your nearest shops / commercial complex. ,This complex is in the growth corridor for the Southside of Brisbane. It has the convenience to access the M1 Motorway in less than 2 minutes , 100 meters to city bus stop and a 20 minutes ride to CBD.,You have the choice to live onsite or rent out the managers unit for $300/week.,The managers unit offers a 2 bed, 1 bath and 2 toilet and a carport.,Office is detached from the unit with NO FIXED OFFICE HOURS, all by appointment!,There is an external toilet for the managers convenience.,This gated complex offers peace of mind withthe latest technology with automatic gate, intercom to each of the lots and security camera monitored remotely by the caretaker.,It also has a share pool with communal amenities, ample visitor carpark, good privacy space between each lot, wide road for traffic and walking around the complex if youlike the stroll after dinner. ,School Catchment:,St Edward the Confessor School,Springwood Central State School,Slacks Creek State School,Chatswood Hills State School,Mabel Park State High School          ,Come and check this one out. We think you will be impressed! "," 
                       ","No,", 3 weeks ago., 3882644
"Newstead,",4689353,0,0.0,919481,350000,5.1,"25 years,","25 years,","0 years,",319,0,0,,0,0,0,2,2, 1,0," 8am-5pm M-F, 8am-12pm Sat,
                        ", Resort Brokers,"Tim Crooks,Tim Crooks"," Concierge, health&wellness centre
Private residentsâ lounge and dining with associated kitchen,
Podium level outdoor landscaped terrace and fire pit
Outdoor kitchen/BBQ and dining
Communal space and island bar
Billiard table, private theatre room
Landscaped rooftop garden terrace with outdoor kitchen/BBQ and dining
Pools and spa
Outdoor cinema
Putting green and lounging areas
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3865268,"2 Towers, 319 Apartments, 1 Body Corporate | Resort Brokers ID : OTP004954
              ","Highly anticipated, Kokodas premier Brisbane development, Chester&Ella, is a residential oasis with upscale hotel amenity situated in the heart of energetic Newstead"," Ground floor apartment - located in Ella
Total living area of 87m2, including a 16m2 outdoor terrace.
                       ","yes,", 11 months ago., 3865268
"Toowong,",2778296,0,0.0,578812,268800,4.8,"25 years,","25 years,","0 years,",221,0,0,,0,0,0,0,0, 0,0," No set hours,
                        ", Resort Brokers,"Tim Crooks,Tim Crooks"," Stunning rooftop activation with city skyline views, infinity edge swimming pool, outdoor entertainment area, rooftop cinema, ground floor retail spaces
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Toowong-QLD-3866580,"Toowong's Only OTP Management Rights Netting $578K | Resort Brokers ID : OTP004981
              ",A captivating proposition for an experienced operator to establish an elite management rights business in the distinguished suburb of Toowong.," No requirement to live on-site. Apartments available to invest or occupy
                       ","yes,", 10 months ago., 3866580
"Eight Mile Plains,",635000,458000,0.72,45177,31500,3.9,"25 years,","20 years,","0 years,",,0,0,,0,0,0,3,2, 2,0," None,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3851960,"Cosy Lifestyle, Easy Income
              ","- Perfectly located in in the highly-sought after suburb of Eight Mile Plains,- Easy access to M1 and Gateway to Gold Coast,- Under 15 km to Brisbane CBD, 10 min thru M3,- About 350 m to Brisbane City Council bus stop,- About 2 km to Westfield Garden City Shopping Centre,- About 2 km to Eight MilePlains Busway Station,- About 9 km to Westfield Carindale Shopping Centre,- Well- presented complex provides the perfect environment to relax in,- Very well run business, all procedures documented,- Long agreement 20 years left on a 25 years accommodation module,- A great manager remuneration $31,500 with annual adjustment of CPI or 3%, which is higher,- Low caretaking workload, easy gardening, small pool, easy job for one person, about 5 hours per week,- Great Manager Residence - Freestanding Lowest s bedroom Villa with double remote lock up garage,-Within school catchment of Warrigal State School and Eight Mile Plains State School, also close to Macgregor High School, Runcorn High School, Redeemer Lutheran College and etc and numerous Childcare Centres,- Ideal for a family or semi-retired couple looking for a solid income and great lifestyle,Come and takea look we are sure you will be impressed! "," 
                       ","Yes,", 3 months ago., 3851960
"Albany Creek,",699000,0,0.0,169861,81400,4.1,"25 years,","25 years,","0 years,",74,1100.0,0,50,1769.22,0,0,0,0, 0,1," ,
                        ", Resort Brokers,"Brent Staker,Brent Staker"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/AlbanyCreek-QLD-3860651,"Amazing Off The Plan Luxury Townhouse Complex - 23% ROI | Resort Brokers ID : MRB004849
              ","Resort Brokers Australia offers you Preston Point, located in Albany Creek. This large, 3 stage 'off the plan' townhouse complex consists of 2, 3 and 4 bedroom pavilion homes"," 
                       ","yes,", 1 year ago., 3860651
"Mount Gravatt East,",1283800,520000,0.41,141452,86000,5.4,"25 years,","16 years,","0 years,",,0,0,,0,0,0,3,2, 1,1," None,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/MountGravattEast-QLD-3849937,"Great Permanent Management Rights in Southside of Brisbane
              ","Perfect Location,Centrally located in the leafy, southern suburb of Mt Gravatt East. Convenient and handy - only a short distance away from the Mega Carindale Westfield, which has everything as you want and a short walk to public transport, handy to Garden City and Sunnybank Central,Popularfor Renter,Well- presented complex provides the perfect environment to relax in. The turnover of tenants is very low, keeping inspections and paperwork to a minimum,Healthy BC Relationship,Body Corporate very fantastic and supportive to work with,16 Years Left on Agreement and Can-do 5 YearsTop Up,Based on accommodation module and Very well run business, all procedures documented ,Great Manager Salary,Manager remuneration $86,000 with annual adjustment of CPI,CLEAN Income Page,No any income included from repairs and maintenance, cleaning  Great income upsides potentials!,Renovated, Modern and fantastic 300+ m2 Manager Residence,Three beds, two baths and downstairs toilet, one garage,Spacious dining and living area large enough to comfortably suit all your family's needs  ,Kitchen includes a large pantry and stainless steel appliances and the laundry with downstairs toilet The quiet outdoor area is fully decked for a nice outdoor setting and BBQ,Spacious detached manager office,Perfectly within the catchment of Mansfield State High School,This is a rare opportunity to purchase such a beautiful lifestyle and solid permanent management right! ,Be quick! Dontmiss the rare management rights in Brisbane Southside!,Please contact Exclusive Agents - David Jiang by and Patrick Leou by to book your inspection. "," 
                       ","No,", 3 months ago., 3849937
"Acacia Ridge,",783200,325000,0.41,91633,53097,5.0,"25 years,","19 years,","0 years,",,0,0,,0,0,0,3,1, 2,1," None,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/AcaciaRidge-QLD-3864278,"Easy and Safe Permanent Management Rights in Brisbane Southside
              ","- Great Location,Ideally located in the leafy, southern suburb of Acacia Ridge for buyers looking for ultimate security and convenience to suit their lifestyle. ,Convenient and handy - only a short distance away from Acacia Ridge Marketplace and Woolworths Shopping Centre, about 6kM or 10 minutes ride to Sunnybank Plaza and Market Square, 5kM or 9 minutes ride to Sunnybank Hills Shopping Town and Calamvale Central, which have everything as you want,On a very quiet end of road, well serviced by public transport,- Healthy BC Relationship,Body Corporate very fantastic and supportive to work with,- Great Manager Salary,Manager remuneration $53,097 with annual adjustment of CPI every Oct,- CLEAN Income Page,Very small income from Repairs & Maintenance as well as Cleaning. Great income upsides potentials!,- Well Presented 3 Beds Manager Residence,Beautifully appointed three beds, one baths and downstairs toilet, single garage,Spacious dining and living area large enough to comfortably suit all your family's needs,Kitchen includes a large pantry and modern appliances and the laundry with downstairs toilet The quiet outdoor area for a nice outdoor setting and BBQ,Spacious detached manager office,- Possible Safest Letting Business,All two beds townhouses in complex except only one three beds manager residence to minimize the risk of letting drop,Be Quick! Do not miss the easy management rights in Brisbane Southside! "," 
                       ","No,", 6 months ago., 3864278
"Zillmere,",1250000,370000,0.3,204943,173245,4.3,"10 years,","10 years,","21 years,",175,989.97,133,26,1219.15,0,16,3,1, 4,1," No set office hours,
                        ", Management Rights Sales,"Greg Jorgensen,Greg Jorgensen"," Solar heated pool, Spa, Full tennis court, BBQ, Covered poolside entertaining area, CCTV, Childrens pool
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Zillmere-QLD-3867941,"PARKLANDS ADJOINS THIS NORTH BRISBANE URBAN VILLAGE - ID 8695
              ","Permanent Villa & Townhouse Management Rights,- 175 permanent townhouse and villa complex 14km north of Brisbane CBD,- No requirement to live on site,- No set office hours offers great flexibility of lifestyle,- 26 in the letting pool with the potential to increase to 40+,- Sought after complex with extremely low vacancy periods,- Excellent Body Corporate remuneration and an extensive equipment list,- Brand new 10 year Caretaking and Letting agreements to the incoming buyer,- Large separate office with excellent fit out and REI Master software,- Open plan 3 bedroom managers villa with 4 car accommodation,- Increase profits through real estate sales and handyman maintenance,The current managers are keen to step into the next phase of their lives, the kids have left home and grand-kids have arrived. Here is your opportunity to capitalise on the strong foundation that they have created for this sought after complex. Its all there, a to-be new caretaking and letting agreement, a supportive Body Corporate, stable letting pool and an attractive net profit. Take it to the next level as there is tangible upside here if that is what you are looking for.,Net Profit: $2(verified by Industry Accountant),Asking Price: $1,250,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this Brisbane management rights business for sale contact:,Exclusive Broker,Greg Jorgensen, "," Single level brick villa, Open plan design, Large outdoor covered entertaining area
                       ","Yes,", 2 months ago., 3867941
"Bulimba,",1136817,469000,0.41,190805,128000,3.5,"25 years,","25 years,","0 years,",79,1620.25,0,26,2415.58,0,0,1,1, 0,0," ,
                        ", Resort Brokers,"Brent Staker,Brent Staker"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Bulimba-QLD-3859644,"Great Value in Riverside Suburb with a 3.5 Multiplier | Resort Brokers ID : OTP004834
              ","Eastpark Bulimba is a brand new, low-rise management rights development in the, much desired, riverside suburb of Bulimba. This premium apartment complex, constructed by reputable developer DeLuca, consists of 79 contemporary apartments and beautiful communal pool facilities."," 
                       ","no,", 1 year ago., 3859644
"Aspley,","$695,000 MASSIVE PRICE REDUCTION",500000,0,55000,44000,3.5,"25 years,","17 years,","18 years,",32,1375.0,19,11,1000.0,0,2,2,2, 2,1," No set office hours,
                        ", Management Rights Sales,"Mark English,Mark English"," Swimming pool, BBQ, Security parking
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3865413,"MASSIVE PRICE REDUCTION - NORTHSIDE PERMANENT : MANAGEMENT RIGHTS SALES - ID 8822
              ","MASSIVE PRICE REDUCTION,- Brisbane management rights for sale,- Very easy complex for one person to maintain,- Stunning complex within walking distance of major shopping centre, restaurants and transport,- 11 of the 32 units in the permanent letting pool,- Office on title with no set office hours,- Two bedroom + study residence with private, secluded backyard and large double garage,- Pet friendly,- Possible extra income from sale of units,Located in one of Brisbanes most appealing suburbs, this super easy to manage northside complex is perfect for the sole operator or a couple where one person wants to maintain employment elsewhere.,Net Profit: $55,000,Reduced Asking Price: $695,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this Brisbane management rights for sale contact:,Exclusive Broker,Mark English,Servicing QLD,Aspley is a suburb of Brisbane located about 13 kilometres north and approximately half an hour drive from the Brisbane CBD.,It is a well established, family orientated suburb offering beautiful parklands, a substantial retail precinct, restaurants, schools and public transport. "," Neat managers residence, Includes study, Private and secluded backyard
                       ","Yes,", 2 months ago., 3865413
"Runcorn,",135000,0,0.0,27832,0,4.3,"0 years,","0 years,","0 years,",,0,0,,0,0,0,0,0, 0,0," none,
                        ", Next International Realty Pty Ltd,"David Janett,David Janett"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3875010,"Perfect Small Business Only Add on Management Rights Runcorn!
              ","Ideally located is this quiet and peaceful complex, the units fresh and modern. With the city bus (150, 153, N154, 156&P157) only 400m away and a huge council parkland at the front of the complex, residents have never had so much room to run around! This townhouse complex is well maintained and has one to one of the most popular with renters in Runcorn! ,No unit to buy and no requirement to live onsite!,* All units come with three good size bedrooms, all with built in robes and ceiling fans,* Master bedroom with air conditioning, ensuite and built in robes,* Supersize living and meals areas. ,* Great kitchens with modern appliances and dishwasher,* Low maintenance paved courtyards,* Plenty of visitor parking in complex,* Pet friendly on application,* Small complex of only 15 units,* Potential to increase letting pool by picking up the outside lettings.,This is a popular complex with great management. Come and inspect and make your offer before someone else does! "," 
                       ","No,", 3 months ago., 3875010
"Algester,",950000,430000,0.45,98000,73545,5.3,"25 years,","22 years,","0 years,",,0,0,17,0,0,0,3,2, 4,1," No set of office hours,
                        ", Shine Realty,"Celine Tseng,Celine Tseng"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Algester-QLD-3874135,"Solid income! Located in central Algester!
              ","This beautiful, nice and quiet complex positioned in central Algester and located in a top rental area. Surround by good transportation, direct bus to CBD, couple big shopping centres within 5 minutes drive. Close to school, park and shops. Its potential to increase the letting business. BC Salary will increase by 4% per annual. Ring today to book your inspection and you wont disappointed. "," 
                       ","Yes,", 3 weeks ago., 3874135
"Annerley,",170000,0,0.0,55000,25000,3.1,"25 years,","25 years,","0 years,",22,1136.36,1,16,1875.0,0,0,0,0, 0,0," ,
                        ", Joy Realty,"Robert Lin,Robert Lin"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Annerley-QLD-3873480,"Business only, no unit buy
              ","No need to purchase manager unit,Brand NEW unit complex Already completed and ready for occupy ,Good income, small size complex and easy to manage "," 
                       ","No,", 5 days ago., 3873480
"Calamvale,",Caretaking Business and Unit $600K,450000,0,42446,42446,3.5,"25 years,","18 years,","8 years,",40,0,27,,0,0,13,3,3, 2,0," None Stated,
                        ", Property Bridge,"Bobo Qi,Bobo Qi"," A modern very low maintenance complex, No office to purchase.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Calamvale-QLD-3876107,"Caretaking Business
              ","Buy this business and townhouse for only $600,000.,Live onsite or off site, the choice is yours.,Plenty of options and scope to grow this business. ,Whist selling this business with caretaker income only, this business does have a letting agreement in place. 18 years remain on agreements.,You may choose to commence a letting business and increase your income.,Body Corporate provides all materials, equipment, etc for the manager to perform caretaking duties. "," No Office, Townhouse Only, 3 Bedroom, 2 Bathroom, Powder Room, 2 Car Garage
                       ","Yes,", 2 weeks ago., 3876107
"Richlands,",2385000,760000,0.32,300800,123676,5.4,"25 years,","23 years,","9 years,",103,1200.74,14,83,2134.02,0,6,6,6, 3,1," None,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3871169,"Permanent, Big Nett Income, Big Remuneration in Brisbane Southwest Suburb
              ","Richlands is situated approximately 15 kilometres from the Brisbane CBD and occupies a prime position within South East Queenslands western growth corridor, arguably one of the south-western corridors most accessible suburbs. Richlands is located at the cross over of the Ipswich Motorway M7, Centenary Motorway M5 and direct access to the Logan Motorway, Brisbane Airport and the Port of Brisbane.,Located in sought after and leafy Southwest suburb of Richlands with all the big name retailers on your doorstep,Short walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15 min ride to Sunnybank Hills,20 min to Garden City Westfield,25 min to South Bank Parklands,Well presented complexes,Big nett income $300,800 annually,Permanent management rights business,Very well run business, all procedures documented,No set office hours and well-presented on title office,Investor complex in rental area, less owner-occupiers,Body Corporate very good and supportive to work with,Long agreement, still 21 years and 23 years left on agreements,Great manager remuneration $123,676 with annual adjustment of CPI,Complex very popular with renters, since ideal location and good rental,Two spacious manager units - First - three bedrooms, two bathrooms, single garage and attached on title office Second - three bedrooms, two bathrooms, double garage,Extra rental income on second manager unit about $18,000 annually,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!!! Please book your inspection with NEXT exclusive agents. "," 
                       ","No,", 1 month ago., 3871169
"Sinnamon Park,",Under Contract Within Two Weeks,520000,0,135000,82040,5.4,"25 years,","22 years,","0 years,",,0,0,,0,0,0,4,2, 2,1," As per agreements,
                        ", Next International Realty Pty Ltd,"Betty Jia,Betty Jia"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/SinnamonPark-QLD-3881920,"Resort living and Strong Growth Permanent Business!
              ","Resort-style complex, ideally located in the leafy, sought-after western suburb of Sinnamon Park for buyers looking for ultimate security and convenience to suit their lifestyle. ,Convenient and handy - the location is unrivaled with close proximity to public transport as well as easy access to the Centenary Highway and Legacy Way, giving you options to get in and out of the city. ,You are only moments away from the family friendly Rocks Riverside Park and Jindalee DFO plus only a short drive to Mount Ommaney and Indooroopilly Shopping Centres.,Well presented complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Long agreement, still 22 years left on agreement,Good Remuneration $82,with the annual increase of 3%,Modern and fantastic Manager Residence ,Open plan and modern, this immaculate double storey townhouse presents to the highest standards.,With a touch of elegance&style, stunning and beautifully appointed four beds, two baths and downstairs toilet, double garage ,Spacious dining and living area large enough to comfortably suit all your family's needs  ,kitchen includes a large pantry and modern appliances and the laundry with downstairs toilet ,The quiet outdoor area for a nice outdoor setting and BBQ,Spacious detached manager office,This is a rare opportunity to purchase such a beautiful lifestyle permanent management right! ,Come and take a look we are sure you will be impressed!!,Please contact NEXT Exclusive Agent - Betty Jia, make an appointment now. "," 
                       ","No,", 3 weeks ago., 3881920
"Carindale,",1746000,587000,0.34,204000,133800,5.7,"25 years,","20 years,","20 years,",91,1470.33,51,39,1800.0,0,1,3,3, 2,1," Mon, Wed, Fri,
                        ", Property Bridge,"Bobo Qi,Bobo Qi"," Awesome Location, Close to Westfield, Townhouse and Villas, Pool, BBQ, Function Room
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Carindale-QLD-3876714,"Superb Location
              ","This business offers a generous Body Corporate Salary.,20 years remain on management agreements and with the added benefits of such a wonderfully situated community this business is an extremely attractive buy.,Highly sought after residential complex conveniently located close to Belmont State School, Westfield, public transport, Bulimba Creek bikeways and Belmont Hills Nature Reserve. And only a couple of minutes drive to the Gateway Motorway. ,Managers residence is a beautifully appointed 3 bedroom, 2.5 bathroom, 2 car garage townhouse.,Act now. Contact us for an inspection before you miss this golden opportunity. "," 
                       ","Yes,", 2 weeks ago., 3876714
"West End,",Please Contact Agent,750000,0,140536,81318,4.8,"25 years,","21 years,","0 years,",,0,0,,0,0,0,2,2, 2,1," None,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3875746,"Quality Life and Permanent Management Rights
              ","Perfectly located in the prestigious heart of West End, sought after nature environment for quality lifestyle, walking distance to South Bank Park and CBD in 15 - 20 minutes,High quality complex, Pradella built awarded Building,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to West End Commercial Street,Very well run complex, all procedures documented,Body Corporate very fantastic and supportive to work with,A great manager remuneration $81,318 with annual adjustment of CPI,21 years agreement on a 25 years accommodation module (Top-up scheduled),Modern and fantastic loft manager unit - two bedrooms, two bathrooms, one toilet downstairs, two carparks and a large outdoor entertaining yard,Located within the Brisbane State High School and West End State School catchment area,This is a rare opportunity to purchase such a lifestyle permanent management right business! Come and take a look we are sure you will be impressed! "," 
                       ","No,", 3 weeks ago., 3875746
"Oxley,",740000,0,0.0,172494,66000,4.3,"25 years,","25 years,","0 years,",66,1000.0,0,48,2218.62,0,0,0,0, 0,0," ,
                        ", Resort Brokers,"Nathan Eades,Nathan Eades"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Oxley-QLD-3860670,"Price Reduced, Projections Reviewed based on Market Feedback!  | Resort Brokers ID : MRB004850
              ","Pavilions on Parkvue is offered to the market exclusively by Resort Brokers Australia. The large, spacious and beautifully appointed 3 and 4 bedroom pavilion homes will surround a luxurious resort styled swimming pool and recreational area in the South West growth corridor of Brisbane."," 
                       ","yes,", 1 year ago., 3860670
"Collingwood Park,",1105000,240000,0.22,173000,101361,5.0,"25 years,","23 years,","25 years,",,0,0,50,0,0,7,2,1, 2,1," No set office hour,
                        ", Shine Realty,"Celine Tseng,Celine Tseng"," Pool, Fitness area
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/CollingwoodPark-QLD-3882348,"Good income with balanced lifestyle
              ","This beautiful, peaceful complex is located in a very convenient area close to local parks, schools, and shopping centres. It's only a 10 minute drive to the new Costco warehouse which will open in late 2018. The easily maintained complex is currently run by one person and this is its first time on the market in 13 years. Quiet and well-manicured, it features a 23 year agreement and great Body Corp. It won't stay on the market for long. Call Celine today to request further information or book your inspection. "," 2 bedrooms, 1 bathroom, 2 toilets, townhouse
                       ","No,", 1 week ago., 3882348
"West End,",590000,0,0.0,111713,43600,5.3,"25 years,","24 years,","0 years,",,0,0,,0,0,0,0,0, 0,0," None,
                        ", Next International Realty Pty Ltd,"David Jiang - David Janett,David Jiang - David Janett"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3878686,"Business Only Management Rights in West End
              ","Prime Location,This is a boutique building, perfectly located in the prestigious heart of West End, walking distance to South Bank Park and CBD,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to West End Commercial Street,Easy Caretaking Work,Low workload caretaking work, no pool, no garden, no gym, only BBQ rooftop,Usually 6 hours/week, easy for one person,Long Years Agreement,24 Years agreement on both agreements,Great Remuneration,$43,600 annually with CPI or 3% adjustment every Oct, which is greater,No Office Hours and No Unit to Buy,If you want to buy a solid management right business and undisturbed lifestyle, it ticks all your boxes.,Please book your inspection immediately with NEXT exclusive agents, David JIANG and David JANETT. "," 
                       ","No,", 1 month ago., 3878686
"Annerley,",1200000,350000,0.29,201390,84212,4.2,"0 years,","0 years,","0 years,",,0,0,36,0,0,0,2,1, 2,1," NONE,
                        ", SIRE Management Rights,"Richard  Jessica,Richard  Jessica"," BBQ
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Annerley-QLD-3857080,"Managagement Rights With Secure Letting Pool
              ",," 
                       ","No,", 5 months ago., 3857080
