address,agency,agent,agreement_age,agreement_remaining,agreement_term,complex_fetures,description,income,last_update,letting,look_ups,manager_bathroom,manager_bed,manager_car,multiplier,office,office_hour,outside_agents,owner_occupy,pets,price,property_id,remuneration,title,total_unit,unit_feature,unit_price,url
"Acacia Ridge,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","19 years,","25 years,"," 
                       ","- Great Location,Ideally located in the leafy, southern suburb of Acacia Ridge for buyers looking for ultimate security and convenience to suit their lifestyle. ,Convenient and handy - only a short distance away from Acacia Ridge Marketplace and Woolworths Shopping Centre, about 6kM or 10 minutes ride to Sunnybank Plaza and Market Square, 5kM or 9 minutes ride to Sunnybank Hills Shopping Town and Calamvale Central, which have everything as you want,On a very quiet end of road, well serviced by public transport,- Healthy BC Relationship,Body Corporate very fantastic and supportive to work with,- Great Manager Salary,Manager remuneration $53,097 with annual adjustment of CPI every Oct,- CLEAN Income Page,Very small income from Repairs & Maintenance as well as Cleaning. Great income upsides potentials!,- Well Presented 3 Beds Manager Residence,Beautifully appointed three beds, one baths and downstairs toilet, single garage,Spacious dining and living area large enough to comfortably suit all your family's needs,Kitchen includes a large pantry and modern appliances and the laundry with downstairs toilet The quiet outdoor area for a nice outdoor setting and BBQ,Spacious detached manager office,- Possible Safest Letting Business,All two beds townhouses in complex except only one three beds manager residence to minimize the risk of letting drop,Be Quick! Do not miss the easy management rights in Brisbane Southside! ",91633, 6 months ago.,,0,1,3, 2,5.0,1," None,
                        ",0,0,"No,",783200, 3864278,53097,"Easy and Safe Permanent Management Rights in Brisbane Southside
              ",," 
                       ",325000,https://www.TheOnsiteManager.com.au/permanent-management-rights/AcaciaRidge-QLD-3864278
"Aspley,", Management Rights Sales,"Mark English,Mark English","18 years,","17 years,","25 years,"," Swimming pool, BBQ, Security parking
                       ","MASSIVE PRICE REDUCTION,- Brisbane management rights for sale,- Very easy complex for one person to maintain,- Stunning complex within walking distance of major shopping centre, restaurants and transport,- 11 of the 32 units in the permanent letting pool,- Office on title with no set office hours,- Two bedroom + study residence with private, secluded backyard and large double garage,- Pet friendly,- Possible extra income from sale of units,Located in one of Brisbanes most appealing suburbs, this super easy to manage northside complex is perfect for the sole operator or a couple where one person wants to maintain employment elsewhere.,Net Profit: $55,000,Reduced Asking Price: $695,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this Brisbane management rights for sale contact:,Exclusive Broker,Mark English,Servicing QLD,Aspley is a suburb of Brisbane located about 13 kilometres north and approximately half an hour drive from the Brisbane CBD.,It is a well established, family orientated suburb offering beautiful parklands, a substantial retail precinct, restaurants, schools and public transport. ",55000, 2 months ago.,11,0,2,2, 2,3.5,1," No set office hours,
                        ",2,19,"Yes,","$695,000 MASSIVE PRICE REDUCTION", 3865413,44000,"MASSIVE PRICE REDUCTION - NORTHSIDE PERMANENT : MANAGEMENT RIGHTS SALES - ID 8822
              ",32," Neat managers residence, Includes study, Private and secluded backyard
                       ",500000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3865413
"Annerley,", Joy Realty,"Robert Lin,Robert Lin","0 years,","25 years,","25 years,"," 
                       ","No need to purchase manager unit,Brand NEW unit complex Already completed and ready for occupy ,Good income, small size complex and easy to manage ",55000, 5 days ago.,16,0,0,0, 0,3.1,0," ,
                        ",0,1,"No,",170000, 3873480,25000,"Business only, no unit buy
              ",22," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Annerley-QLD-3873480
"Hillcrest,", Management Rights Sales,"Tony Johnson,Tony Johnson","3 years,","24 years,","24 years,"," 
                       ","Phillip Usher Special,Small Brisbane Southside Permanent Complex,- Small southside permanent complex only 2 years old,- Low maintenance grounds, no pool,- Quality 3 bedroom residence with attached office and DLUG,- 36/38 in the letting pool,- Quiet area with good amenities nearby,- This complex would suit a first time operator or as an add on for an experienced operator,- This is a single person operation if I have ever seen one. This truly is as easy as it gets,The quality residence makes it ideal for a growing family or for a couple. Large living area, quality kitchen with stone benchtops and stainless steel appliances. Dining area flows to outdoor area and private courtyard. There is also an attached office and double remote garage. The manager also has a garden shed for equipment and supplies.The low maintenance grounds ensure this is a part time operation and if run by a couple would allow at least one person to work offsite full time if desired,In this price bracket permanent complexes do not come any better,Net Profit: $133,000,Asking Price: $1,030,000,(inclusive of managers real estate),For further information on this permanent management rights opportunity contact:,Exclusive Broker,Tony Johnson, ",133000, 3 weeks ago.,36,0,2,3, 2,4.6,1," ,
                        ",0,2,"No,",1030000, 3881699,45600,"QUALITY RESIDENCE FOR PERMANENT COMPLEX
              ",38," 3 bedroom townhouse, 2 bathrooms, Private courtyard, Double lock up garage, Main bedroom with ensuite
                       ",420000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3881699
"West End,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","21 years,","25 years,"," 
                       ","Perfectly located in the prestigious heart of West End, sought after nature environment for quality lifestyle, walking distance to South Bank Park and CBD in 15 - 20 minutes,High quality complex, Pradella built awarded Building,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to West End Commercial Street,Very well run complex, all procedures documented,Body Corporate very fantastic and supportive to work with,A great manager remuneration $81,318 with annual adjustment of CPI,21 years agreement on a 25 years accommodation module (Top-up scheduled),Modern and fantastic loft manager unit - two bedrooms, two bathrooms, one toilet downstairs, two carparks and a large outdoor entertaining yard,Located within the Brisbane State High School and West End State School catchment area,This is a rare opportunity to purchase such a lifestyle permanent management right business! Come and take a look we are sure you will be impressed! ",140536, 3 weeks ago.,,0,2,2, 2,4.8,1," None,
                        ",0,0,"No,",Please Contact Agent, 3875746,81318,"Quality Life and Permanent Management Rights
              ",," 
                       ",750000,https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3875746
"Zillmere,", Management Rights Sales,"Greg Jorgensen,Greg Jorgensen","21 years,","10 years,","10 years,"," Solar heated pool, Spa, Full tennis court, BBQ, Covered poolside entertaining area, CCTV, Childrens pool
                       ","Permanent Villa & Townhouse Management Rights,- 175 permanent townhouse and villa complex 14km north of Brisbane CBD,- No requirement to live on site,- No set office hours offers great flexibility of lifestyle,- 26 in the letting pool with the potential to increase to 40+,- Sought after complex with extremely low vacancy periods,- Excellent Body Corporate remuneration and an extensive equipment list,- Brand new 10 year Caretaking and Letting agreements to the incoming buyer,- Large separate office with excellent fit out and REI Master software,- Open plan 3 bedroom managers villa with 4 car accommodation,- Increase profits through real estate sales and handyman maintenance,The current managers are keen to step into the next phase of their lives, the kids have left home and grand-kids have arrived. Here is your opportunity to capitalise on the strong foundation that they have created for this sought after complex. Its all there, a to-be new caretaking and letting agreement, a supportive Body Corporate, stable letting pool and an attractive net profit. Take it to the next level as there is tangible upside here if that is what you are looking for.,Net Profit: $2(verified by Industry Accountant),Asking Price: $1,250,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this Brisbane management rights business for sale contact:,Exclusive Broker,Greg Jorgensen, ",204943, 2 months ago.,26,0,1,3, 4,4.3,1," No set office hours,
                        ",16,133,"Yes,",1250000, 3867941,173245,"PARKLANDS ADJOINS THIS NORTH BRISBANE URBAN VILLAGE - ID 8695
              ",175," Single level brick villa, Open plan design, Large outdoor covered entertaining area
                       ",370000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Zillmere-QLD-3867941
"Algester,", Shine Realty,"Celine Tseng,Celine Tseng","0 years,","22 years,","25 years,"," 
                       ","This beautiful, nice and quiet complex positioned in central Algester and located in a top rental area. Surround by good transportation, direct bus to CBD, couple big shopping centres within 5 minutes drive. Close to school, park and shops. Its potential to increase the letting business. BC Salary will increase by 4% per annual. Ring today to book your inspection and you wont disappointed. ",98000, 3 weeks ago.,17,0,2,3, 4,5.3,1," No set of office hours,
                        ",0,0,"Yes,",950000, 3874135,73545,"Solid income! Located in central Algester!
              ",," 
                       ",430000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Algester-QLD-3874135
"Runcorn,", Next International Realty Pty Ltd,"David Janett,David Janett","0 years,","0 years,","0 years,"," 
                       ","Ideally located is this quiet and peaceful complex, the units fresh and modern. With the city bus (150, 153, N154, 156&P157) only 400m away and a huge council parkland at the front of the complex, residents have never had so much room to run around! This townhouse complex is well maintained and has one to one of the most popular with renters in Runcorn! ,No unit to buy and no requirement to live onsite!,* All units come with three good size bedrooms, all with built in robes and ceiling fans,* Master bedroom with air conditioning, ensuite and built in robes,* Supersize living and meals areas. ,* Great kitchens with modern appliances and dishwasher,* Low maintenance paved courtyards,* Plenty of visitor parking in complex,* Pet friendly on application,* Small complex of only 15 units,* Potential to increase letting pool by picking up the outside lettings.,This is a popular complex with great management. Come and inspect and make your offer before someone else does! ",27832, 3 months ago.,,0,0,0, 0,4.3,0," none,
                        ",0,0,"No,",135000, 3875010,0,"Perfect Small Business Only Add on Management Rights Runcorn!
              ",," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3875010
"Richlands,", Next International Realty Pty Ltd,"David Jiang,David Jiang","9 years,","23 years,","25 years,"," 
                       ","Richlands is situated approximately 15 kilometres from the Brisbane CBD and occupies a prime position within South East Queenslands western growth corridor, arguably one of the south-western corridors most accessible suburbs. Richlands is located at the cross over of the Ipswich Motorway M7, Centenary Motorway M5 and direct access to the Logan Motorway, Brisbane Airport and the Port of Brisbane.,Located in sought after and leafy Southwest suburb of Richlands with all the big name retailers on your doorstep,Short walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15 min ride to Sunnybank Hills,20 min to Garden City Westfield,25 min to South Bank Parklands,Well presented complexes,Big nett income $300,800 annually,Permanent management rights business,Very well run business, all procedures documented,No set office hours and well-presented on title office,Investor complex in rental area, less owner-occupiers,Body Corporate very good and supportive to work with,Long agreement, still 21 years and 23 years left on agreements,Great manager remuneration $123,676 with annual adjustment of CPI,Complex very popular with renters, since ideal location and good rental,Two spacious manager units - First - three bedrooms, two bathrooms, single garage and attached on title office Second - three bedrooms, two bathrooms, double garage,Extra rental income on second manager unit about $18,000 annually,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!!! Please book your inspection with NEXT exclusive agents. ",300800, 1 month ago.,83,0,6,6, 3,5.4,1," None,
                        ",6,14,"No,",2385000, 3871169,123676,"Permanent, Big Nett Income, Big Remuneration in Brisbane Southwest Suburb
              ",103," 
                       ",760000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3871169
"Collingwood Park,", Shine Realty,"Celine Tseng,Celine Tseng","25 years,","23 years,","25 years,"," Pool, Fitness area
                       ","This beautiful, peaceful complex is located in a very convenient area close to local parks, schools, and shopping centres. It's only a 10 minute drive to the new Costco warehouse which will open in late 2018. The easily maintained complex is currently run by one person and this is its first time on the market in 13 years. Quiet and well-manicured, it features a 23 year agreement and great Body Corp. It won't stay on the market for long. Call Celine today to request further information or book your inspection. ",173000, 1 week ago.,50,0,1,2, 2,5.0,1," No set office hour,
                        ",7,0,"No,",1105000, 3882348,101361,"Good income with balanced lifestyle
              ",," 2 bedrooms, 1 bathroom, 2 toilets, townhouse
                       ",240000,https://www.TheOnsiteManager.com.au/permanent-management-rights/CollingwoodPark-QLD-3882348
"Calamvale,", Property Bridge,"Bobo Qi,Bobo Qi","8 years,","18 years,","25 years,"," A modern very low maintenance complex, No office to purchase.
                       ","Buy this business and townhouse for only $600,000.,Live onsite or off site, the choice is yours.,Plenty of options and scope to grow this business. ,Whist selling this business with caretaker income only, this business does have a letting agreement in place. 18 years remain on agreements.,You may choose to commence a letting business and increase your income.,Body Corporate provides all materials, equipment, etc for the manager to perform caretaking duties. ",42446, 2 weeks ago.,,0,3,3, 2,3.5,0," None Stated,
                        ",13,27,"Yes,",Caretaking Business and Unit $600K, 3876107,42446,"Caretaking Business
              ",40," No Office, Townhouse Only, 3 Bedroom, 2 Bathroom, Powder Room, 2 Car Garage
                       ",450000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Calamvale-QLD-3876107
"West End,", Next International Realty Pty Ltd,"David Jiang - David Janett,David Jiang - David Janett","0 years,","24 years,","25 years,"," 
                       ","Prime Location,This is a boutique building, perfectly located in the prestigious heart of West End, walking distance to South Bank Park and CBD,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to West End Commercial Street,Easy Caretaking Work,Low workload caretaking work, no pool, no garden, no gym, only BBQ rooftop,Usually 6 hours/week, easy for one person,Long Years Agreement,24 Years agreement on both agreements,Great Remuneration,$43,600 annually with CPI or 3% adjustment every Oct, which is greater,No Office Hours and No Unit to Buy,If you want to buy a solid management right business and undisturbed lifestyle, it ticks all your boxes.,Please book your inspection immediately with NEXT exclusive agents, David JIANG and David JANETT. ",111713, 1 month ago.,,0,0,0, 0,5.3,0," None,
                        ",0,0,"No,",590000, 3878686,43600,"Business Only Management Rights in West End
              ",," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/WestEnd-QLD-3878686
"Macgregor,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","25 years,","25 years,"," 
                       ","Prime Location,- Conveniently located in a highly sought after position, close to everything, shops, schools, transportation,- Very popular to renter,- Take a short trip to Garden City, Sunnybank Shopping Centres Griffith University, QEII Hospital,- City Express bus stop to CBD, QUT and UQ just in the front door,- Ride to Brisbane CBD in 8 minutes thru M3 on doorstop,- Within good schools' catchment, MacGregor State School, Upper Mount Gravatt State School, St. Bernard's School,Easy Caretaking Work,- Low workload caretaking work, no pool, no BBQ, small garden, easy job for one person,On Top 25 Years Agreement,- 25 Years agreement does give your peace of mind,Great Remuneration,- $59,098 annually with CPI + 0.25% adjustment every Nov,No Office Hours,- Separate spacious on title office, as your another study, no office hours,If you want to buy a solid management right business, it ticks all your boxes, please book your inspection immediately. ",132440, 5 months ago.,,0,2,3, 2,5.2,1," None,
                        ",0,0,"No,",1250000, 3841635,59098,"Location! Location! Location!
              ",," 
                       ",560000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Macgregor-QLD-3841635
"Carindale,", Property Bridge,"Bobo Qi,Bobo Qi","20 years,","20 years,","25 years,"," Awesome Location, Close to Westfield, Townhouse and Villas, Pool, BBQ, Function Room
                       ","This business offers a generous Body Corporate Salary.,20 years remain on management agreements and with the added benefits of such a wonderfully situated community this business is an extremely attractive buy.,Highly sought after residential complex conveniently located close to Belmont State School, Westfield, public transport, Bulimba Creek bikeways and Belmont Hills Nature Reserve. And only a couple of minutes drive to the Gateway Motorway. ,Managers residence is a beautifully appointed 3 bedroom, 2.5 bathroom, 2 car garage townhouse.,Act now. Contact us for an inspection before you miss this golden opportunity. ",204000, 2 weeks ago.,39,0,3,3, 2,5.7,1," Mon, Wed, Fri,
                        ",1,51,"Yes,",1746000, 3876714,133800,"Superb Location
              ",91," 
                       ",587000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Carindale-QLD-3876714
"Annerley,", SIRE Management Rights,"Richard  Jessica,Richard  Jessica","0 years,","0 years,","0 years,"," BBQ
                       ",,201390, 5 months ago.,36,0,1,2, 2,4.2,1," NONE,
                        ",0,0,"No,",1200000, 3857080,84212,"Managagement Rights With Secure Letting Pool
              ",," 
                       ",350000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Annerley-QLD-3857080
"Mount Gravatt East,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","16 years,","25 years,"," 
                       ","Perfect Location,Centrally located in the leafy, southern suburb of Mt Gravatt East. Convenient and handy - only a short distance away from the Mega Carindale Westfield, which has everything as you want and a short walk to public transport, handy to Garden City and Sunnybank Central,Popularfor Renter,Well- presented complex provides the perfect environment to relax in. The turnover of tenants is very low, keeping inspections and paperwork to a minimum,Healthy BC Relationship,Body Corporate very fantastic and supportive to work with,16 Years Left on Agreement and Can-do 5 YearsTop Up,Based on accommodation module and Very well run business, all procedures documented ,Great Manager Salary,Manager remuneration $86,000 with annual adjustment of CPI,CLEAN Income Page,No any income included from repairs and maintenance, cleaning  Great income upsides potentials!,Renovated, Modern and fantastic 300+ m2 Manager Residence,Three beds, two baths and downstairs toilet, one garage,Spacious dining and living area large enough to comfortably suit all your family's needs  ,Kitchen includes a large pantry and stainless steel appliances and the laundry with downstairs toilet The quiet outdoor area is fully decked for a nice outdoor setting and BBQ,Spacious detached manager office,Perfectly within the catchment of Mansfield State High School,This is a rare opportunity to purchase such a beautiful lifestyle and solid permanent management right! ,Be quick! Dontmiss the rare management rights in Brisbane Southside!,Please contact Exclusive Agents - David Jiang by and Patrick Leou by to book your inspection. ",141452, 3 months ago.,,0,2,3, 1,5.4,1," None,
                        ",0,0,"No,",1283800, 3849937,86000,"Great Permanent Management Rights in Southside of Brisbane
              ",," 
                       ",520000,https://www.TheOnsiteManager.com.au/permanent-management-rights/MountGravattEast-QLD-3849937
"Kelvin Grove,", Raas Group,"Robert Collins,Robert Collins","2 years,","23 years,","25 years,"," 
                       ","The developer has an expectation of offers from $2,230,000,Please contact Exclusive Agent Robert Collins on or ,Please contact Exclusive Agent Robert Collins on or  ",300000, 2 months ago.,76,0,2,2, 0,,0," nil,
                        ",15,27,"Yes,",2230000, 3861097,118000,"LARGE BEAUTIFUL PERMANENT COMPLEX - KELVIN GROVE
              ",118," The managers unit is a 2 bed 2 bath unit that is large with a huge court yard. There is 3 car parks on title 21 storage units that can be let out. Income from storage units not included.
                       ",580000,https://www.TheOnsiteManager.com.au/permanent-management-rights/KelvinGrove-QLD-3861097
"Runcorn,", Onsite Sales,"David Dai,David Dai","0 years,","21 years,","25 years,"," 
                       ","-Close to all transports and amenities.A short 10mins walk to Runcorn Tavern,Chinese,Korean,Malaysian restaurants and shops, Fish&Chips, Medical Centre, Pharmacy, Foodworks. Runcorn train station is only just around the corner. ,-It still has potential for growth and easy to run by one person combine both income and leisure lifestyle with the comfortable manager unit. ",74000, 4 days ago.,12,0,2,3, 1,4.9,0," No set hours,
                        ",4,18,"No,",Expressions of Interest, 3874157,44182,"Perfect Location In Southern Suburb
              ",34," 
                       ",380000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Runcorn-QLD-3874157
"Sinnamon Park,", Next International Realty Pty Ltd,"Betty Jia,Betty Jia","0 years,","22 years,","25 years,"," 
                       ","Resort-style complex, ideally located in the leafy, sought-after western suburb of Sinnamon Park for buyers looking for ultimate security and convenience to suit their lifestyle. ,Convenient and handy - the location is unrivaled with close proximity to public transport as well as easy access to the Centenary Highway and Legacy Way, giving you options to get in and out of the city. ,You are only moments away from the family friendly Rocks Riverside Park and Jindalee DFO plus only a short drive to Mount Ommaney and Indooroopilly Shopping Centres.,Well presented complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Long agreement, still 22 years left on agreement,Good Remuneration $82,with the annual increase of 3%,Modern and fantastic Manager Residence ,Open plan and modern, this immaculate double storey townhouse presents to the highest standards.,With a touch of elegance&style, stunning and beautifully appointed four beds, two baths and downstairs toilet, double garage ,Spacious dining and living area large enough to comfortably suit all your family's needs  ,kitchen includes a large pantry and modern appliances and the laundry with downstairs toilet ,The quiet outdoor area for a nice outdoor setting and BBQ,Spacious detached manager office,This is a rare opportunity to purchase such a beautiful lifestyle permanent management right! ,Come and take a look we are sure you will be impressed!!,Please contact NEXT Exclusive Agent - Betty Jia, make an appointment now. ",135000, 3 weeks ago.,,0,2,4, 2,5.4,1," As per agreements,
                        ",0,0,"No,",Under Contract Within Two Weeks, 3881920,82040,"Resort living and Strong Growth Permanent Business!
              ",," 
                       ",520000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SinnamonPark-QLD-3881920
"Nundah,", Shine Realty,"Celine Tseng,Celine Tseng","3 years,","21 years,","25 years,"," 
                       ","Business only! Caretaker business! This beautiful nearly brand new apartment complex is perfectly located in the heart of Nundah. Close to shopping centre, DFO, buses, trains station and airport. No managers unit need to purchase. It has long agreement of 21 years remaining. The caretaker salary was solid support the net income. This is great opportunity for great return for the investment, just call in today for more information or book your inspection. ",64000, 2 months ago.,,0,0,0, 0,5.2,0," No set of office hours,
                        ",0,0,"Yes,",335000, 3878492,61000,"Business only! Caretaker business!
              ",," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Nundah-QLD-3878492
"Kuraby,", Shine Realty,"Celine Tseng,Celine Tseng","0 years,","22 years,","25 years,"," 
                       ","This beautiful, nice and quiet complex positioned in heart of Kuraby and located in a top rental area. Surround by good transportation, school, shopping centre and park. Managers unit is a three bedrooms townhouse with open plan kitchen/dining area opening out to a private paved courtyard, If the manager lives off-site and rents it out, can fetch a rental price of $375/week ($19500 per year) as off the balance sheet income. Its potential to increase the letting business. Ring today to book your inspection and you wont disappointed. Just call in today at for more information. ",133260, 3 months ago.,34,0,2,3, 1,5.0,1," ,
                        ",2,8,"No,",1025000, 3858239,53904,"Good location! It has potential to increase the letting business.
              ",44," 
                       ",360000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Kuraby-QLD-3858239
"Moorooka,", Joy Realty,"Serena Ruan,Serena Ruan","0 years,","22 years,","25 years,"," 
                       ","Highly Supportive Body Corporate Committee ,Attractive Body Corporate Salary $72,562.00 p.a.,Net Income $ 106,195.00 p.a.,Accommodation module twenty-two years remain,Healthy top-up history,Light workload,Convenience location - Moorooka,Pet Subject to Body Corporate Approval,No Required Office Hours,This Management Rights Business operates as a permanent letting within the Accommodation module of the BCCM legislation. It consists of thirty-nine three bedroom, two bathroom, townhouses and villas. The caretaking and letting agreement is for twenty-five years of which twenty-two years remain. The owner has a good relationship with the highly supportive Body Corporate Committee and Body Corporate Manager. ,This gated townhouse complex is situated seven kilometres south of the Brisbane CBD and ten minutes drive from Sunnybank. It is close to major shopping centres, schools, parks, the Rocklea and Moorooka train stations, the Ipswich Motorway and Beaudesert Road. Local dining options include Chinese, Italian, African, and seafood plus numerous cafs and takeaways. The Brisbane River, Brisbane Golf Club, the State Tennis Centre (where the Brisbane International tournament is held), Toohey Forest Conservation Park and the Rocklea Markets (for fresh vegetables, flowers and gourmet food) are all close by.,The manager's residence is a spacious, light-filled, comfortable three bedroom, two bathroom villa. It has air conditioning in living area and fans in bedrooms. The covered entertainment area is a focal point of the residence, where you can enjoy time with family or host a warm party.,With this combination of excellent net income, attractive body corporate salary, supportive Body Corporate Committee, paid pool maintenance, comfortable villa with large covered entertainment area and light work load, this management rights business presents an outstanding business and lifestyle opportunity. ",106195, 5 days ago.,14,0,2,3, 3,5.0,1," ,
                        ",3,22,"Yes,",$965K+, 3860815,72562,"Moorooka Management Rights
              ",39," 
                       ",435000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Moorooka-QLD-3860815
"Hillcrest,", Raine & Horne Onsite Rights,"Mark Fluhart,Mark Fluhart","2011 years,","24 years,","25 years,"," The complex has minimal facilities, including a Gym, Pool and BBQ area. Youâll find the caretaking duties easy to manage on a weekly basis, with established low maintenance gardens. Your time is fairly evenly divided between the caretaking duties and office administration.The location of the complex is great for both tenants and managers alike, with a bus stop and all major facilities within a short distance, including Grand Plaza Shopping Centre approx 3 kilometres away with Coles, Woolworths, Big W, Target and Cinemas.
                       ","This three bedroom freestanding townhouse is all about privacy. The entrance to this town home is very private being located past your on-title office and double garage which as internal access to unit. The unit has its own street access within the complex. The unit features a large open plan living and lounge area overlooking your private courtyard.,The 60 unit complex has minimal facilities, including a Gym, Pool and BBQ area. Youll find the caretaking duties easy to manage on a weekly basis, with established low maintenance gardens. Your time is fairly evenly divided between the caretaking duties and office administration. The location of the complex is great for both tenants and managers alike, with a bus stop and all major facilities within a short distance, including Grand Plaza Shopping Centre approx 3 kilometres away with Coles, Woolworths, Big W, Target and Cinemas. ",155280, 1 week ago.,52,0,2,3, 2,4.9,1," 0,
                        ",5,3,"Yes,",1199000, 3854867,73130,"Hillcrest Managements Rights Business
              ",60," This three bedroom freestanding townhouse is all about privacy.The entrance to this town home is very private being located past your on-title office and double garage which as internal access to unit. The unit has its own street access within the complex. The unit features a large open plan living and lounge area overlooking your private courtyard.The modern kitchen is built for the entertainer with stainless appliances and a large island bench perfect for entertaining your guests. After an evening of entertaining your guests or family, you can retreat upstairs to your king sized master bedroom. Your family or guests have the choice of two other queen sized rooms with a full sized bathroom to cater for their needs.
                       ",435000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Hillcrest-QLD-3854867
"Spring Hill,", Next International Realty Pty Ltd,"David Janett - David Jiang,David Janett - David Jiang","0 years,","24 years,","25 years,"," 
                       ","Four Star Luxury Serviced Apartments and Holiday Accommodation in the heart of Brisbane,Conveniently located within the Spring Hill corporate precinct, central to everything Brisbane has to offer. Spring Hill is an inner city suburb of Brisbane located only two kilometres north of the CBD. ,The suburb neighbours the buzzing suburb of Fortitude Valley, where you will find endless cafes, restaurants, bars and China Town. Victoria Park is not far away for those wanting a game of golf and head across the river to  South Bank Parklands for a swim or eat at one of the many cafes/ restaurants or enjoy some entertainment whether that be browsing the markets or to see a show at the arts centre etc. The location is second to none!,Location and amenities:  ,-5 minutes walk to RNA showgrounds,-5 minutes ride to Royal Brisbane Hospital and 10 minutes to Mater and Wesley Hospitals ,-10 minutes walk to Centenary Pool and Zest Gym Complex,-15 minutes walk to Queensland University of Technology/ Queensland Medical School,-15 minutes walk to Fortitude Valley Shops, China Town, Bars and Market,-15-20 minutes walk to the heart of the CBD with bus passing the door   ,These 22 luxury apartments are serviced weekly with plenty of secure undercover parking. Each apartment is air-conditioned and offers private balconies with city, park or street views. All apartments have laundry facilities and a full kitchen with a dishwasher and microwave. The living areas include LCD Smart TVs and Internet.,The P&L was produced for 12 months ending in August 2017, the income is $312,149. From February this year the manager has removed the rental guarantees and this lead to some owners removing their unit from the rental pool. This has impacted the income but has now stabilised.,Occupancy is now on the rise and some of the owners are now looking to come back in the pool. All systems are in place, the cleaners do the common areas and the part time receptionist is happy to stay on. Although a 2 person team or partnership could save this wage. ,  ,Overall an exciting opportunity to buy an established business with plenty of upside! Dont miss this one! ",312149, 6 months ago.,25,0,2,2, 1,5.0,1," M-F: 8:30am-5pm Sat: 8:30-12pm,
                        ",0,0,"No,",2234800, 3865021,69637,"Location Location Location!
              ",," 
                       ",550000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3865021
"Spring Hill,", Joy Realty,"Robert Lin,Robert Lin","0 years,","18 years,","25 years,"," 
                       ","NO MANAGER UNIT TO PURCHASE,-Mix of long and short  term rentals with HIGH net income,-Amazing location at the top of the city with view,-Easily run by 1.5 full time staff and casual cleaner,-only small common areas to maintain,-Stylish apartment complex with walking distance to public transport,-18 years left on accommodation module agreements ",280100, 5 days ago.,26,0,0,0, 0,5.1,0," ,
                        ",28,14,"No,","$1,928,000.00", 3865723,103788,"Corporate Management Rights â Business Only
              ",54," 
                       ",500000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3865723
