price_des,crawl_date,floorplan,car,indoor_feature,bed,property_type,other_feature,agent,property_id,rental_yield,bathroom,median_rent,post_code,street_address,title,outdoor_feature,suburb,url,agency,date_available,price,allowance,bond,description 
$490 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Living Areas:,1,Toilets:,2,Gym,Built-in Wardrobes,Air Conditioning",[3],Townhouse,,Metrocity Realty - Rental Department,[424301250],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,80 Greenway Circuit,Ready to move in now!,"Remote Garage,Garage Spaces:,2,Deck,Courtyard,Outdoor Entertaining Area,Swimming Pool - Inground,Tennis Court",Mount Ommaney,https://www.realestate.com.au/property-townhouse-qld-mount+ommaney-424301250,Metrocity Realty - West End,Available Now,$490 per week,,"$1,960",Dont miss out on this modern 3-bedroom townhouse inside the exclusive Central Parklands community. 
$375 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Living Areas:,1,Toilets:,3,Built-in Wardrobes,Split-system Air Conditioning,Air Conditioning",[3],Townhouse,,Manager,[424305390],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4076,13/91 Ashridge Road,Modern 3 Bedroom,"Remote Garage,Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Courtyard,Shed,Fully Fenced",Darra,https://www.realestate.com.au/property-townhouse-qld-darra-424305390,SeaScapeRE,Available Now,$375 per week,,"$1,500","Recently renovated modern 3 bedroom townhouse perfect for a family or share living, located conveniently close to public transport and the shops. A short distance to the local schools. Complete with security screens on all doors and windows. 2 private car spaces available with extra parking on the street. "
$340 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Michael Cai,[424326366],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4077,83 OLD PROGRESS ROAD,MODERN 3 BEDROOM TOWNHOUSE LOCATED IN RICHLANDS,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424326366,Raine & Horne - Onsite Sales,Available Now,$340 per week,,"$1,400",This beautiful Near new townhouse has great features including:
$650 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Karyl Davies,[405328245],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4068,69 Leybourne Street,Large Queenslander in Chelmer!,"Garage Spaces:,2",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-405328245,Ray White - Middle Park,Available Now,$650 per week,,"$2,600","This large Queenslander home features 3 bulit-in bedrooms upstairs and a bathroom, plus another bedroom and bathroom downstairs. Large living area, kitchen with dishwasher and a large laundry. The backyard is great for children and backs onto a park. Huge double lock-up garage. Upstairs are polished floors with timber floors downstairs."
$600 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Toilets:,3",[4],House,,Centenary Real Estate,[424336414],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,8 FOLEY PLACE,Supremely Spacious & Perfectly Positioned,"Remote Garage,Garage Spaces:,2",Sinnamon Park,https://www.realestate.com.au/property-house-qld-sinnamon+park-424336414,Centenary Real Estate - Jindalee,Available Now,$600 Weekly,,,"This absolutely beautifully maintained family home high on the hill in Sinnamon Park is being welcome to the rental market for the very first time. With an abundance of inclusions like new ducted air conditioning throughout, new carpets, city views from the top deck, large level fully fenced yard and more - this property is truly one not to be missed!"
$320 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],Unit,0,Cartwright Property Group,[424342962],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,3/66 Bute Street,SHERWOOD,"Carport Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424342962,Cartwright Property Group - GRACEVILLE,Available Now,$320 per week,,"$1,280","- Sorry, no pets"
$365 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,Property Type: House Garaging / carparking: Single lock-up,Harcourts South West BDM,[424400706],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,71 Paluna Street,Bring the family,"Garage Spaces:,1",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-424400706,Harcourts Centenary Suburbs - Mt Ommaney,Available Now,$365 p.w.,Pet Friendly,"$1,460","Family home close to all amenities. 3 bedroom brick with fresh new carpet. All bedrooms with built ins. Entertainment area overlooking fully fenced back yard, perfect for the family and pets. Call now dont miss out."
$360 PW,"[datetime.date(2018, 9, 26)]",Not provided,[1],Built-in Wardrobes,[3],Unit,,Kimberley Cattermole,[424352786],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,1/24 Hood Street,Conveniently located tidy townhouse in Sherwood,"Secure Parking,Garage Spaces:,1,Balcony,Courtyard",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424352786,First National - Springfield,Available Now,$360 PW,,"$1,440",Neat and Spacious Townhouse waiting for you!
$650 Per Week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Living Areas:,2,Toilets:,1,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],House,,Lesley Walsh,[424365966],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4069,846 Fig Tree Pocket Rd,SPACIOUS INDOOR & OUTDOOR LIVING. QUIET LEAFY POCKET.,"Garage Spaces:,1,Shed",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424365966,Walsh and Dixon Real Estate - Graceville,Available Now,$650 Per Week,Pet Friendly,"$2,600","This low maintenance, low set brick and tile home offering 4 bedrooms, ensuite, good sized formal and family living spilling to a large covered outdoor patio and secure rear garden is situated in a quiet leafy, riverside precinct with parkland, cycle paths and riverside walkways a short stroll away."
$425 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],House,,For Rent (QLD),[418623702],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,4 Mercator Street,A True Suburban Gem in the Most Perfect Location,"Garage Spaces:,2",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-418623702,For Sale By Owner Australia,Available Now,$425 per week,,"$1,700",The Phone Code for this property is: 67097. Please quote this number when phoning or texting.
$395 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,2,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Debbie Swales,[411600235],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,10 Bensley Place,4 BED. 2 BATH. DBL GAR. AIR CON. WELL PRICED,"Secure Parking,Garage Spaces:,2",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-411600235,Ray White - Centenary,Thu 11-Oct-18,$395 per week,Pet Friendly,"$1,580",Ray White Centenary offers for rent this low-set rendered home in a quiet street in Riverhills. 
$375 Per Week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Air Conditioning",[2],Unit,"Balcony, Low maintenance",Sharna Nixon-Smith,[418344114],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,3/107 Jerrold Street,"Location, Convenience and Contemporay","Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-418344114,Arthur Conias Real Estate - Toowong,Available Now,$375 Per Week,,"$1,560","This stylish two bedroom, two bathroom home is located just walking distance to the Corinda train station and local shops. This is a small boutique complex that is sure to impress with the style and a generous proportioned unit with ducted-air-conditioning and contemporary kitchen complete with Caesar-stone bench tops. "
$625.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,2,Floorboards,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Renate Van Den Berg,[422726458],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,128 Strong Avenue,Great Entertainer - Air Con - Pets,"Garage Spaces:,2,Balcony",Graceville,https://www.realestate.com.au/property-house-qld-graceville-422726458,Ray White - Holland Park,Available Now,$625.00 per week,Pet Friendly,"$2,500","This charming modernised home, with genuine charm and character, is modern and very functional and has been designed for easy living. The modern family kitchen is central to the home and features loads of cupboard and drawer space and the must have dishwasher. This blends easily with the lounge and dining areas gently spilling out to the huge covered entertaining area and the rear yard is fabulous with mature trees and low maintenance landscaping gives a real sense of peaceful privacy. Great features include:"
$390 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Reverse-cycle Air Conditioning",[3],Townhouse,,Peter Kilby,[405713616],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,3/1 Abel Smith Crescent,First Week Rent Free then $390.00 Per Week,"Remote Garage,Garage Spaces:,1,Balcony,Courtyard,Swimming Pool - Inground",Mount Ommaney,https://www.realestate.com.au/property-townhouse-qld-mount+ommaney-405713616,Maison Real Estate -  Mount Ommaney,Available Now,$390 per week,,"$1,560","Located in the heart of the Centenary Suburbs, this townhouse is convenient and comfortable."
$390 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Dishwasher",[3],Townhouse,,Peter Kilby,[416363749],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,2/1 Abel Smith Crescent,First Week Rent Free then $390.00 Per Week,"Remote Garage,Garage Spaces:,1,Balcony,Courtyard,Swimming Pool - Inground",Mount Ommaney,https://www.realestate.com.au/property-townhouse-qld-mount+ommaney-416363749,Maison Real Estate -  Mount Ommaney,Available Now,$390 per week,,"$1,560","Located in a prime position in Mt Ommaney, walking distance to schools, shops, transport etc, this townhouse is the ideal solution for your busy lifestyle."
$430 PETS OK,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[4],House,,Leasing Crew,[421710010],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4068,1 Leybourne Street,"Dual Living (4th bed, bath + rumpus downstairs) Pet Friendly & Fenced - Double Carport + Off St - Large bedrooms - 2 Living Areas - Walk to Cafes.","Garage Spaces:,2",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-421710010,Rentfresh Property Management - Fortitude Valley,Available Now,$430 PETS OK,Pet Friendly,,"Tenants Book Inspection 24/7. Simply ""EMAIL AGENT"", receive instant SMS and Email to book a day and time that suits you to inspect."
$295 per week,"[datetime.date(2018, 9, 26)]",Not provided,,,[1],Apartment,,Zoe Wales,[424459058],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4068,79c Honour Avenue,TRANQUIL ONE BEDROOM UNIT - FURNISHED,,Chelmer,https://www.realestate.com.au/property-apartment-qld-chelmer-424459058,Ray White Sherwood/Graceville,Available Now,$295 per week,,"$1,180",Located in the gorgeous leafy suburb of Chelmer you will find this stunning furnished one bedroom unit. 
$345 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,3",[3],House,,Rentals - Centenary Real Estate,[424025646],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4076,12/91 ASHRIDGE ROAD,Convenience Plus!,"Garage Spaces:,1",Darra,https://www.realestate.com.au/property-house-qld-darra-424025646,Centenary Real Estate - Jindalee,Available Now,$345 Weekly,,,This lovely townhouse located within a stones throw of all the amenities Darra has to offer is being welcomed to the rental market for the first time.
$330 p/w,"[datetime.date(2018, 9, 26)]",Not provided,[3],Built-in Wardrobes,[3],House,"close to schools,close to transport",Property Management Team,[424038910],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,97 Azalea  Street,Good size home,"Carport Spaces:,1,Open Car Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-424038910,Coulson Real Estate - Inala,Available Now,$330 p/w,,"$1,320","This 3 bedroom home has plenty of room from kids to play in the back yard. Inside we have open plan living kitchen and lounge room, 3 good size bedroom with built- ins robes, outside laundry, ramp out the front and a water tank"
$440 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],House,,Rentals - Centenary Real Estate,[404516127],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,28 Cobbadah Street,BRILLIANT LOCATION + FRESHLY UPDATED!!,"Garage Spaces:,2",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-404516127,Centenary Real Estate - Jindalee,Available Now,$440 Weekly,,"$1,800","This property is in a great location - an easy walk to Jindalee State School,bus stops,sporting grounds and riverside park."
$290 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Floorboards,Broadband Internet Available",[2],Unit,0,Cartwright Property Group,[424048486],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,4/97 Dewar Terrace,SHERWOOD,"Carport Spaces:,1",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424048486,Cartwright Property Group - GRACEVILLE,Available Now,$290 per week,,"$1,160","- Sorry, no pets"
$700.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,2,Floorboards,Air Conditioning",[5],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Renate Van Den Berg,[423014430],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,92 Graceville Avenue,Amazing Family Home – Stunning Character – Pet Friendly,"Garage Spaces:,2,Balcony",Graceville,https://www.realestate.com.au/property-house-qld-graceville-423014430,Ray White - Holland Park,Fri 12-Oct-18,$700.00 per week,Pet Friendly,"$2,800","Charm and character define this traditional Queenslander. Close to the local French bakery, Patisserie and village shops this home offers lifestyle and easy family living. The features such as the stained glass doors create a gorgeous ambience and warmth which flows throughout the home. Central to the heart of the home is the lounge which effortlessly flows to the kitchen and dining area then opening through French doors to the large rear deck. With suburb views and Mt Cootha in the distance it is the perfect place to relax and catch the evening breeze. Come enjoy:"
$350 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2,Floorboards,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Solarl P",Courtney Pearson,[424050506],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,82 Aldebaran Street,Perfect family home + Pets Ok!,"Carport Spaces:,1",Inala,https://www.realestate.com.au/property-house-qld-inala-424050506,One Agency - Forest Lake,Available Now,$350 per week,Pet Friendly,"$1,400","Offering a simple layout, this home features a large air-conditioned lounge and dining space, with the 3 bedrooms and 1 bathroom located privately down the hallway."
$755 per week,"[datetime.date(2018, 9, 26)]",Not provided,[4],"Toilets:,1,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Transport, Garden, Formal Lounge, shed,  deck",MetroWest Rentals,[418962446],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4069,55 Botticelli Street,Single Level Home in Quiet Neighbourhood,"Secure Parking,Garage Spaces:,2,Open Car Spaces:,2,Balcony,Swimming Pool - Inground",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-418962446,Ray White Metro West,Fri 05-Oct-18,$755 per week,,"$3,020","Homeliness and warmth seeps from the pores of this property for rent in this quiet riverside enclave of Fig Tree Pocket.  #55 Botticelli really is the perfect family home with plenty of entertaining spaces, safe areas for children to play and enough room for quality ‘me time' for all family members. "
$375.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning",[3],Townhouse,,Wise Realty,[410983219],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,9/18 Stockwhip Place,AIR CONDITIONED! BRILLIANT THREE BEDROOM TOWNHOUSE!!,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony,Deck",Sumner,https://www.realestate.com.au/property-townhouse-qld-sumner-410983219,Wise Realty,Available Now,$375.00 per week,,"$1,500",Modern 3 bedroom townhouse with character features:
$400 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1",[4],House,,Denny Dao,[424071526],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,8 Flower Place,4 bedroom home in great location close to everything,"Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-house-qld-richlands-424071526,LITTLE Real Estate - FOREST LAKE,Available Now,$400 per week,Pet Friendly,"$1,600",If you are after a private and quiet neighbourhood this is the one for you.
$395 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],Air Conditioning,[2],Unit,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Zoe Wales,[424096390],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,7/23 Hood Street,Modern Top Floor Apartment - Close to Everything!,"Secure Parking,Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424096390,Ray White Sherwood/Graceville,Available Now,$395 per week,,"$1,580","Located close to everything, a true stunner!"
$360/Wk,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,3",[3],Townhouse,,Richlands Rise,[424088338],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,38/15 James Edward Street,38/15 James Edward Street Richlands,"Remote Garage,Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424088338,Australian Property Management Alliance - Mango Hill,Available Now,$360/Wk,,"$1,440","Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!"
$285 p/w,"[datetime.date(2018, 9, 26)]",Not provided,,"Built-in Wardrobes,Air Conditioning",[2],House,"modern bathroom,modern kitchen,close to schools,close to shops,close to transport",Property Management Team,[421546710],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,19a Blackthorn Street,2 bedroom as new,,Inala,https://www.realestate.com.au/property-house-qld-inala-421546710,Coulson Real Estate - Inala,Available Now,$285 p/w,,"$1,140",As in looking flat at the back of the property has 2 bedrooms.it is fully fenced and has its own yard.
$330 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[1],Built-in Wardrobes,[3],House,Property Type: House Garaging / carparking: Open carport Property Features: Pets Allowed,Harcourts South West BDM,[424112070],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,6 Popondetta Close,1 Weeks free Rent!!!,"Garage Spaces:,1",Darra,https://www.realestate.com.au/property-house-qld-darra-424112070,Harcourts Centenary Suburbs - Mt Ommaney,Available Now,$330 p.w.,Pet Friendly,"$1,320","A lovely three bedroom home with character is available for you!!!  You will be greeted with a charming gated front porch ideal for an afternoon cup of tea.  Timber floating floors open up the combined Lounge and Dining.  The double glass doors from the lounge room opens onto the front porch.  This room is also air conditioned with a reverse cycle split system for those hot summer days and cooler winter months.  Alternatively, you might like to burn a couple of logs on the fireplace this winter for a cosy night in."
$325 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[1],Dishwasher,[2],Unit,Property Type: Unit Garaging / carparking: Single lock-up,Harcourts South West BDM,[407726669],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,4/677 Oxley Road,You Snooze You Loose - #CatchMeBeforeIGetRented,"Garage Spaces:,1",Corinda,https://www.realestate.com.au/property-unit-qld-corinda-407726669,Harcourts Centenary Suburbs - Mt Ommaney,Available Now,$325 p.w.,,"$1,300","You can leave the car behind and take a short stroll to trendy Corinda Village with its cafes, Coles, medical centre,  train station and Private and State Schools with walking distance. "
Why Rent When You Can Buy? Rent to Own Today!,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning",[4],House,,Charles Knight Property,[424172230],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,,Rent to Own Today! Low Deposit Finance Options Available for Both First and Second Home Buyers! (Full Time Employment Required $50k+ per year),"Secure Parking,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424172230,Charles Knight Property - NEW FARM,Available Now,Why Rent When You Can Buy? Rent to Own Today!,"Pet Friendly,Smokers",,"No Deposit, No Worries! "
$335 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=415840969&theme=rea.rent,[2],"Toilets:,1",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Debbie Swales,[415840969],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,24 Dandenong Road,** PRICE REDUCTION **    CONVENIENTLY LOCATED 3 BEDROOM HOME,"Secure Parking,Garage Spaces:,2",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-415840969,Ray White - Centenary,Available Now,$335 per week,Pet Friendly,"$1,340",LOCATION! LOCATION! LOCATION!     CLOSE TO SCHOOLS! SHOPS! TRANSPORT!
$170 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,,"Living Areas:,1",[1],Unit,"Property Type: Unit, House Property Features: Unfurnished, Smoke alarms",Harcourts Beyond Rentals,[424224958],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,20B Libra Street,1 Bedroom Granny Flat with Private Yard,,Inala,https://www.realestate.com.au/property-unit-qld-inala-424224958,Harcourts Beyond - SUNNYBANK,Available Now,$170 p.w.,,$680,This tidy 1 bedroom granny flat has a tiled combined kitchen & lounge area with electric cooking appliances and generous pantry space. 
$380 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=420883586&theme=rea.rent,,"Toilets:,1",[3],House,"Close to Schools, Close to Shops, Close to Transport",Michelle Nguyen,[420883586],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,123 Inala Ave,Convenience at its best.,,Inala,https://www.realestate.com.au/property-house-qld-inala-420883586,Rightway Realty - Darra,Available Now,$380 per week,,"$1,520",This house is situated on a corner block only 200m away from Inala Shopping Centre.
$995 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,4,Alarm System,Floorboards,Air Conditioning",[5],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Fireplace(s)","Lauren Matbouly,Satvir Nassar",[424195306],"<span class=""rate""></span>",[4],"<span class=""price""></span>",4074,49 Drysdale Street,Mount Ommaney Mansion,"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground",Mount Ommaney,https://www.realestate.com.au/property-house-qld-mount+ommaney-424195306,Brisbane Real Estate - Indooroopilly,Available Now,$995 per week,Pet Friendly,"$3,980","This unique, European-style mansion offers sophisticated interior details with generous open spaces as well enjoying sensational views of McLeod Country Golf Course."
$645 per week,"[datetime.date(2018, 9, 26)]",Not provided,[5],"Ensuite:,1,Living Areas:,3,Toilets:,3,Study,Workshop,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",[3],House,,Marie Moore,[424465238],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4069,22 Mandalay St,CHARMING and DELIGHTFUL - GARDENING INCLUDED,"Remote Garage,Secure Parking,Carport Spaces:,1,Garage Spaces:,2,Open Car Spaces:,2,Balcony,Courtyard,Outdoor Entertaining Area",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424465238,HAVEN RESIDENTIAL,Available Now,$645 per week,,"$2,580",A charming architect designed hideaway will make you forget that a busy life exists only minutes away. 
$320 PW,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Floorboards,Air Conditioning",[3],House,,Kimberley Cattermole,[424225014],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,12 Southern Cross Avenue,Pet Friendly Value for Money in Darra,"Garage Spaces:,2,Balcony,Fully Fenced",Darra,https://www.realestate.com.au/property-house-qld-darra-424225014,First National Oxley - OXLEY,Available Now,$320 PW,Pet Friendly,"$1,280","Tidy high-set home in good condition. Massive Fenced yard,"
$530 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Air Conditioning",[3],Townhouse,0,Yeni Cook 0411036998,[422301614],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,74 Greenway Circuit,Luxury 3 bedrooms Townhouse,"Remote Garage,Garage Spaces:,2,Deck,Fully Fenced,Swimming Pool - Inground,Tennis Court",Mount Ommaney,https://www.realestate.com.au/property-townhouse-qld-mount+ommaney-422301614,Joy Realty - Sunnybank,Available Now,$530 per week,,"$2,120","READY for you now!  New painting through out the townhouse and new carpet.Contemporary townhouse offers you open plan living with privacy, set in exclusive Central Parklands. Not only do you get 3 good sized bedroom with plenty of storage in each room, you have a large ensuite and main bathroom with bath to relax and re-cooperate.  The open living area allows for a number of furniture placement options with direct access to your own private timber deck.  Air-conditioned up and down and dishwasher completes the picture for you. As a Central Parklands resident you also receive full membership to the exclusive Rec Club. Where you can swim or do laps in the 25 metre pool and take in the heated spa, maybe have a hit on the full size tennis court, perhaps the well-appointed gymnasium is your thing.  Then you have sauna, BBQ's and kitchen facilities to round up the day. Even better you don't have to maintain them and someone else cuts the footpath grass for you.  This property is just a couple of minutes' walk to Mount Ommaney shopping centre and express bus station. It is also close to many other services and facilities. Double car remote control garage."
$370 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],Air Conditioning,[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Telisha Cook,[422476138],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,43 Brentford Road,BRAND NEW TOWNHOUSES!!,"Secure Parking,Garage Spaces:,1,Balcony",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-422476138,Impact Real Estate Solution - UNDERWOOD,Available Now,$370 per week,Pet Friendly,"$1,480",These stylish and spacious modern townhouses are brand new and ready to move in now so get in quick as they wont last long!
$390 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Formal Lounge",Tony Lin,[422178518],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,32/100 Oakmont Avenue,SPACIOUS 3 BED 2 GARAGE with View - WALK TO ALDI AND BUS,"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground",Oxley,https://www.realestate.com.au/property-townhouse-qld-oxley-422178518,RAAS Group,Available Now,$390 per week,,"$1,560",READY FOR MOVE IN.
$450 / week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Toilets:,2,Gym,Built-in Wardrobes,Dishwasher,Air Conditioning",[3],Townhouse,,Nan Li,[417189650],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,39 / 105 OLDFIELD RD,105 Oldfield Road Sinnamon Park,"Remote Garage,Garage Spaces:,1,Open Car Spaces:,1,Tennis Court",Sinnamon Park,https://www.realestate.com.au/property-townhouse-qld-sinnamon+park-417189650,Australian Property Management Alliance - Mango Hill,Available Now,$450 / week,,"$1,800","High set Tuscan designed town houses and villa featuring: 3 large bedrooms (main with EN-SUITE) all with built-in robes, 2 bathrooms, 3 toilets, spacious open plan living, dining and kitchen area, air conditioning, tiled outdoor patio and entertainment area, remote lock-up garage plus additional adjacent parking space."
370 wekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Managers",Summer Dong,[422948186],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,36 Kathleen,Living in Richlands,"Secure Parking,Garage Spaces:,2,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-422948186,Raine & Horne - Onsite Sales,Available Now,370 wekly,Pet Friendly,"$1,480",Be quick for this rare opportunity. Family friendly and secured complex in the best location of Richlands. 
