car,bed,suburb,date_available,indoor_feature,title,bond,post_code,price_des,description,allowance,url,rental_yield,other_feature,property_id,price,outdoor_feature,property_type,crawl_date,floorplan,median_rent,street_address,bathroom,agent,agency 
[1],[2],Corinda,Available Now,Built-in Wardrobes,Location and Affordability is the Key!!!,"$1,240",4075,$310 per week,This neatly presented unit is in the heart of it all! ,,https://www.realestate.com.au/property-unit-qld-corinda-424678630,"<span class=""rate""></span>",,[424678630],310,"Secure Parking,Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",5/58 Nelson Street,[1],Yvette La Burniy,BOUTIQUE PROPERTY MANAGERS
[1],[3],Inala,Available Now,"Toilets:,1,Air Conditioning",NEAT FAMILY HOME CLOSE TO ALL AMENITIES,"$1,320",4077,$330 per week,***HOW TO INSPECT THIS PROPERTY DETAILS BELOW***,Pet Friendly,https://www.realestate.com.au/property-house-qld-inala-424690906,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424690906],330,"Secure Parking,Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",53 Frangipani St,[1],"Kerryanne Drummond,Simon Le",Ray White Forest Lake
[2],[4],Sherwood,Fri 02-Nov-18,"Floorboards,Air Conditioning",FAMILY ENTERTAINERS DELIGHT,"$2,500",4075,$625 per week,"This beautiful Queenslander is opening its doors to a new family! Double french doors at the front, following the breeze to the back entertainers deck through the open plan kitchen, living and dining. Practical space and layout is what makes this the perfect family home. This is a must inspect to believe it! The hardest decision you will have to make is having your morning coffee on the front porch, or the back deck.",,https://www.realestate.com.au/property-house-qld-sherwood-419328478,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[419328478],625,"Secure Parking,Garage Spaces:,2,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",43 Chancellor Street,[2],Zoe Wales,Ray White Sherwood/Graceville
[2],[4],Riverhills,Mon 01-Oct-18,"Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning",GOOD FAMILY HOME IN GREAT LOCATION,"$1,640",4074,$410 PER WEEK,Positioned on fully fenced level parcel in Riverhills is this family home in a quiet cal-de-sac is available on now. ,Pet Friendly,https://www.realestate.com.au/property-house-qld-riverhills-422316318,"<span class=""rate""></span>",,[422316318],410,"Garage Spaces:,2,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",9 Trephina Close,[2],"Adam Workman,Katy Lightwood",RE/MAX Ignite - RIVERHILLS
[1],[2],Riverhills,Wed 10-Oct-18,,BEAUTIFUL ALMOST NEW DUPLEX!,"$1,480",4074,$370 p/w,"This beautiful near new duplex is located in the highly sought after and peaceful suburb of Riverhills. This unit contains 2 Bedrooms, 2 Bathrooms with a Master Ensuite and 1 lock up garage with internal access. Open plan living with elegant outdoor entertaining area and a big back yard.",,https://www.realestate.com.au/property-duplex+semi+detached-qld-riverhills-424695130,"<span class=""rate""></span>",,[424695130],370,"Garage Spaces:,1",Duplex/Semi-Detached,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",19B Sawmill Cct,[2],Steve Hoo,Optime Properties - RIVERHILLS
[2],[5],Graceville,Fri 05-Oct-18,"Built-in Wardrobes,Dishwasher,Air Conditioning",New executive home!,"$3,600",4075,$900 per week,"From the premiere street setting to the light filled and open plan indoor and outdoor living spaces; this magnificent newly constructed designer residence exceeds all first impressions by showcasing a spacious, layout with the discerning resident in mind. Intended to provide a relaxed haven, this home is perfectly positioned moments away from local café's, restaurants, cinema and shopping precincts, train station, and quality schools including St Aidan's Anglican Girls School and Brisbane Boys College along with a variety of primary schools, whilst being only 8km from Brisbane's CBD and nearby to University of Queensland.",,https://www.realestate.com.au/property-house-qld-graceville-423691814,"<span class=""rate""></span>",,[423691814],900,"Garage Spaces:,2,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",87 White Street,[3],Louise Hood,RE/MAX Riverside - Graceville
[2],[4],Chelmer,Available Now,"Ensuite:,1,Living Areas:,2,Toilets:,3,Intercom,Built-in Wardrobes,Dishwasher,Ducted Vacuum System,Split-system Air Conditioning,Air Conditioning",Come and See this Spectacular Beauty on Laurel Ave,"$4,920",4068,$820 per week,This charming brick home is spread over two spacious levels offering all the comforts you could ask for.,,https://www.realestate.com.au/property-house-qld-chelmer-424704598,"<span class=""rate""></span>",,[424704598],820,"Secure Parking,Garage Spaces:,2,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",20 Laurel Avenue,[2],"Jaclyn Lazarou,Jonathan Najarro",Place - Graceville
[2],[4],Corinda,Available Now,"Living Areas:,1,Floorboards,Built-in Wardrobes,Air Conditioning",This classic Queenslander is ready for a new family to make it their own with a pool!,"$2,580",4075,$645 per week,"This is a fabulous family home, offering a great entertaining space, beautiful veranda and a sparkling inground pool. ",,https://www.realestate.com.au/property-house-qld-corinda-424722202,"<span class=""rate""></span>",,[424722202],645,"Carport Spaces:,2,Deck,Fully Fenced,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",65 Gray Avenue,[1],"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville
[1],[4],Sherwood,Available Now,"Ensuite:,1,Living Areas:,1,Toilets:,3,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",Meticulously presented townhouse a Rare find in Sherwood.,"$2,300",4075,$575 per week,"This luxury two-storey townhouse offers contemporary apartment living, located within a small complex, walking distance to Sherwood and Corinda villages, train stations, shops and schools. ",,https://www.realestate.com.au/property-townhouse-qld-sherwood-424610374,"<span class=""rate""></span>",,[424610374],575,"Remote Garage,Secure Parking,Garage Spaces:,1,Deck,Courtyard,Outdoor Entertaining Area,Fully Fenced",Townhouse,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424610374&theme=rea.rent,"<span class=""price""></span>",2/27 Jerrold Street,[2],"Jaclyn Lazarou,Jonathan Najarro",Place - Graceville
[4],[3],Darra,Available Now,,Just Walk Right In And Start Living Here,,4076,$465 p.w.,"Positioned on Harcourt Rd Darra this original home is in the heart of a growing area offering a superb lifestyle, moments from popular cafes, the new Darra train and bus interchange with easy access to the Ipswich Motorway and Centenary Highway, local shops and a number of quality schools for all ages. ",Pet Friendly,https://www.realestate.com.au/property-house-qld-darra-423638534,"<span class=""rate""></span>","Property Type: House Property Features: Unfurnished, Pets Allowed",[423638534],465,"Carport Spaces:,2,Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",24 Harcourt Road,[1],"Cassie Turner,Maddison Gleeson",Harcourts Local
,[3],Graceville,Available Now,"Ensuite:,1,Living Areas:,2,Toilets:,3,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",Elegance in Central Graceville,"$2,760",4075,$690 per week,This character filled property has traditional elegance with modern design to offer all the conveniences you would expect.  Spread over 2 generous levels this beautifully presented home has it all.,,https://www.realestate.com.au/property-house-qld-graceville-424704634,"<span class=""rate""></span>",,[424704634],690,"Remote Garage,Deck,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",149 Strong Avenue,[3],"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville
[4],[6],Fig Tree Pocket,Tue 23-Oct-18,"Ensuite:,2,Built-in Wardrobes,Dishwasher,Air Conditioning",Fabulous Family Home in Fig Tree Pocket,"$2,800",4069,$700 per week,"Located in sought after Mandalay Estate, Fig Tree Pocket, this beautiful home will not last.",,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-423298342,"<span class=""rate""></span>",,[423298342],700,"Carport Spaces:,4,Outdoor Entertaining Area,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",54 Mandalay Street,[3],Leasing Team,JDC Property Group - New Farm
[1],[3],Richlands,Available Now,"Ensuite:,1,Toilets:,3,Floorboards,Broadband Internet Available,Built-in Wardrobes,Reverse-cycle Air Conditioning",Inspired Master-Planned Living,,4077,$360 per week,"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience.",,https://www.realestate.com.au/property-townhouse-qld-richlands-421156430,"<span class=""rate""></span>",,[421156430],360,"Remote Garage,Secure Parking,Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=421156430&theme=rea.rent,"<span class=""price""></span>",The Grove /7 Giosam Street,[2],Syd & Fem Douglas,Azure Living - QLD
[1],[3],Inala,Available Now,"Toilets:,1,Floorboards",WELL PRESENTED 3 BEDROOM HOUSE,"$1,140",4077,$285 per week,"This home has been freshly renovated and just awaiting its new tenants!! If you would like to live close to local shops, transport and amenities then this is the home for you.",,https://www.realestate.com.au/property-house-qld-inala-424593666,"<span class=""rate""></span>",,[424593666],285,"Open Car Spaces:,1,Shed",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",16 Sunbird Street,[1],John Lui,Manage My Property
[2],[4],Jamboree Heights,Available Now,"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",FAMILY HOME WITH POOL IN QUIET LOCATION,,4074,$490 per week,"This home is a modern 4 bedroom 2 bathroom family home. It features an open plan Air-Conditioned living area with raked ceiling. Neat and spacious eat-in kitchen which includes integrated dishwasher, stainless appliances and plenty of cupboard and bench space.",Pet Friendly,https://www.realestate.com.au/property-house-qld-jamboree+heights-424308794,"<span class=""rate""></span>",,[424308794],490,"Carport Spaces:,2,Outdoor Entertaining Area,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424308794&theme=rea.rent,"<span class=""price""></span>",33 Pennant St,[2],"Chris Gordon,Iszabel Lees",E Residential
,[3],Chelmer,Available Now,,Very cute and very affordable cottage on Chelmer's high-side... with river views!!!,"$1,920",4068,$480 per week,This cute but very affordable 3 bedroom cottage is located on Chelmer's much sought after high-side.,,https://www.realestate.com.au/property-house-qld-chelmer-424673114,"<span class=""rate""></span>",,[424673114],480,"Secure Parking,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",11 Honour Avenue,[1],Contact Agent Cardinal Land,Cardinal Land
[2],[3],Jindalee,Available Now,"Ensuite:,1,Toilets:,2,Broadband Internet Available,Built-in Wardrobes,Dishwasher",CALL TO ARRANGE A PRIVATE VIEWING TODAY!,"$1,800",4074,$450 per week,"FRESHLY RENOVATED, SPACIOUS & STYLISH",,https://www.realestate.com.au/property-house-qld-jindalee-424462110,"<span class=""rate""></span>",,[424462110],450,"Carport Spaces:,2,Outdoor Entertaining Area",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424462110&theme=rea.rent,"<span class=""price""></span>",24 Canowindra St,[2],"Chris Gordon,Megan Kelada",E Residential
[4],[4],Sherwood,Mon 22-Oct-18,"Ensuite:,1,Living Areas:,1,Toilets:,3,Intercom,Study,Built-in Wardrobes,Dishwasher,Split-system Heating,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning","MAGNIFICENT HOME IN QUIET, FAMILY FRIENDLY COMMUNITY no pets allowed","$3,120",4075,$780,THIS IS AN INCREDIBLY SPACIOUS AND BEAUTIFULLY DESIGNED 4 BEDROOM 3 BATHROOM HOME .,,https://www.realestate.com.au/property-house-qld-sherwood-424529854,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Prestige Homes",[424529854],780,"Remote Garage,Garage Spaces:,2,Open Car Spaces:,2,Courtyard,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424529854&theme=rea.rent,"<span class=""price""></span>",20 Egmont Street,[3],"Rent Central Sherwood,Ann Marie Lindeblad",RESTT Property Sales and Rentals - LOGAN CENTRAL
[2],[3],Richlands,Thu 04-Oct-18,,GENEROUS SIZE TOWNHOUSE,"$1,400",4077,$350 wk,A generously sized duplex townhouse design,,https://www.realestate.com.au/property-unit-qld-richlands-424741930,"<span class=""rate""></span>",,[424741930],350,"Garage Spaces:,1,Open Car Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",199/25 Farinazzo Street,[2],LJ Hooker Forest Lake,LJ Hooker - Forest Lake
[1],[4],Oxley,Tue 09-Oct-18,"Toilets:,2,Workshop,Broadband Internet Available,Built-in Wardrobes,Dishwasher",QUALITY FAMILY HOME IN CONVENIENT LOCATION,,4075,$430 per week,Located in a quiet location this 4 bedroom 1.5 bathroom home offers flexibility and character.,,https://www.realestate.com.au/property-house-qld-oxley-417330350,"<span class=""rate""></span>",,[417330350],430,"Carport Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",17 Idriess St,[1],"Chris Gordon,Erin Gordon",E Residential
[1],[3],Jindalee,Available Now,,Huge back yard and centrally located.,,4074,380.00,Contact David Brinkwall to view this property - 0418 881 234.,,https://www.realestate.com.au/property-house-qld-jindalee-424574498,"<span class=""rate""></span>",,[424574498],"380,00","Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",54 Curragundi54 Curragundi Road,[1],Bridget Mills,More Estate Agents - JINDALEE
[1],[3],Darra,Available Now,"Toilets:,3,Air Conditioning",ONE WEEK FREE RENT & $100 GIFT VOUCHER FOR LEASE START PRIOR TO END OF SEPTEMBER 2018!,"$1,480",4076,$370 PW-1 WEEK FREE,FOR A LIMITED TIME WE ARE OFFERING 1 WEEK FREE RENT AND $100 GIFT VOUCHER IF YOU START YOUR LEASE PRIOR TO THE END OF SEPTEMBER 2018!,,https://www.realestate.com.au/property-townhouse-qld-darra-424493170,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",[424493170],"370,1","Secure Parking,Garage Spaces:,1,Balcony",Townhouse,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424493170&theme=rea.rent,"<span class=""price""></span>",86/20 Sanflex Street,[2],Steve Dunn,RAAS Group
[1],[2],Sherwood,Available Now,"Toilets:,1,Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher","RECENTLY RENOVATED, NEAT & TIDY, IN GREAT LOCATION","$1,400",4075,$350 per week,"This 2 bedroom unit is located in a convenient location only a short walk to the local shops, train station, cafés, restaurants and parks.",,https://www.realestate.com.au/property-unit-qld-sherwood-424766362,"<span class=""rate""></span>",,[424766362],350,"Garage Spaces:,1,Balcony",Unit,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424766362&theme=rea.rent,"<span class=""price""></span>",5/42 Primrose St,[1],Chris Gordon,E Residential
[2],[3],Inala,Available Now,,RENOVATED AND AIR CONDITIONED FAMILY HOME WITH HUGE YARD,"$1,400",4077,$350 per week,You’ll have to be quick to view one of Inala’s best presented homes currently on the rental market. The property has been renovated throughout and is on a fenced 600m2 block with a huge backyard and secure detached double garage. The property is bordering Richlands and sits across the road from public recreation facilities and greenspace within the Cjgreenfield Park and playing fields. ,,https://www.realestate.com.au/property-house-qld-inala-424766646,"<span class=""rate""></span>",,[424766646],350,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",240 Freeman Rd,[1],Dan Young,E Residential
[1],[1],Corinda,Wed 17-Oct-18,"Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning",1 BEDROOM APARTMENT FOR $310 PER WEEK,"$1,240",4075,$310 per week,If you're looking for a modern apartment with all the modern features in a central location then look no further. This apartment ticks all the boxes from design through to quality appliances and fixtures.,,https://www.realestate.com.au/property-apartment-qld-corinda-424776854,"<span class=""rate""></span>",,[424776854],310,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony",Apartment,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",13/719 Oxley  Road,[1],CBS Property Group,CBS Property Group - FORTITUDE VALLEY
[1],[3],Jamboree Heights,Available Now,"Toilets:,1,Air Conditioning",BEAUTIFULLY RENOVATED 3 BEDROOM HOME,"$1,540",4074,$385 + 1 week FREE RENT,"Ray White Centenary proudly offers for rent this beautiful home, recently very tastefully renovated almost throughout, complete with quality fixtures and appliances. With a stunning brand new modern kitchen, fresh paint and new flooring, this is a home to be proud of. ",Pet Friendly,https://www.realestate.com.au/property-house-qld-jamboree+heights-424363406,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops",[424363406],"385,1","Carport Spaces:,1",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424363406&theme=rea.rent,"<span class=""price""></span>",44 Galleon Street,[1],Debbie Swales,Ray White - Centenary
[1],[2],Corinda,Wed 07-Nov-18,"Toilets:,1,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",Great Location!!,"$1,200",4075,$300 per week,"Come and inspect this great two bedroom, single bathroom property. It is positioned at the top rear of the building. Bathroom previously renovated, remote lock up garage and Air Conditioning and ceiling fans. Located just across the road from Coles supermarket and the Sherwood Services Club, Library and less than 100 meters to the Corinda train station.",,https://www.realestate.com.au/property-unit-qld-corinda-424681538,"<span class=""rate""></span>",0,[424681538],300,"Remote Garage,Garage Spaces:,1,Balcony",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",5/17 Donaldson Street,[1],Contact Rentals,Activerealestate.com.au - .
[1],[3],Richlands,Available Now,"Toilets:,3,Air Conditioning",Brand New - Ready for Occupancy,"$1,620",4077,365 + 3 weeks free rent,"This brand new, 3 bedroom townhouse is available for rent NOW.",,https://www.realestate.com.au/property-townhouse-qld-richlands-424581438,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Ceiling fans",[424581438],"365,3","Secure Parking,Garage Spaces:,1,Balcony",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",12/280 Government Road,[2],Bob Stalling,Raine & Horne - Onsite Sales
[1],[3],Oxley,Mon 19-Nov-18,"Toilets:,2",Spacious townhouse 2 minute walk to Aldi shopping centre,"$1,380",4075,$345 per week,"Grab this chance to enjoy a quiet and lifestyle home located in a secure-gated, convenient complex with large swimming pool and BBQ facility. This property has 3 large bedrooms all with built-in wardrobes. The Blunder road shopping center is just next to complex. ",,https://www.realestate.com.au/property-townhouse-qld-oxley-422261534,"<span class=""rate""></span>",,[422261534],345,"Garage Spaces:,1",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",18/11 Oakmont Ave,[1],Betty Jia,nextrealty.com.au
[2],[3],Graceville,Available Now,"Floorboards,Air Conditioning",RENOVATED HOME WITH A POOL IN THE HEART OF GRACEVILLE,"$1,960",4075,$490 per week,"This three bedroom, 2 bathroom home is situated in the heart of Graceville in close proximity to shops, train, restaurants and schools. Modern kitchen with dishwasher. Air-conditioned lounge. Easy access to the rear covered deck from the dining room.",Pet Friendly,https://www.realestate.com.au/property-house-qld-graceville-422078614,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Separate Dining",[422078614],490,"Secure Parking,Carport Spaces:,2,Balcony,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",259 Verney Road East,[2],Rentals Department,Poulsen Property - Graceville
[1],[3],Richlands,Fri 05-Oct-18,"Toilets:,3,Air Conditioning",SPACIOUS AND COMFORTABLE TOWNHOUSE-Close to Trains,"$1,420",4077,$355 per week,*** Please contact us to arrange a viewing.,,https://www.realestate.com.au/property-townhouse-qld-richlands-424774914,"<span class=""rate""></span>","Built-In Wardrobes, Close to Shops, Close to Transport, courtyard,  backyard maintained",[424774914],355,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",10 Yugumbir Street,[2],Sharon Wendt,Raine & Horne - Onsite Sales
[1],[3],Inala,Available Now,,Ready to move in Early September,,4077,$300pw,"This great 3 bedroom home, is well maintained & is ready to move into, would suit a couple or even a single person. Carport, Fully fenced yard. Security Screens. This property is Water Compliant so full waterage usage will be charged. Inspections are by appointments only.",,https://www.realestate.com.au/property-house-qld-inala-414189635,"<span class=""rate""></span>","balcony/patio/terrace,bath",[414189635],300,"Carport Spaces:,1",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=414189635&theme=rea.rent,"<span class=""price""></span>",8 Aquarius Street,[1],Property Management Team,Coulson Real Estate - Inala
[2],[5],Sinnamon Park,Wed 07-Nov-18,,IMMACULATE WINDERMERE ESTATE HOME,,4073,$620 Weekly,"This beautifully designed and maintained home will not last long. Offering spacious, open living areas, lovely easy maintenance gardens and the perfect position, plus a fresh update including a fresh coat of paint, new carpets and kitchen appliances - this stunning home is sure to make you fall in love!",,https://www.realestate.com.au/property-house-qld-sinnamon+park-421929766,"<span class=""rate""></span>",,[421929766],620,"Remote Garage,Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",70 SINNAMON ROAD,[3],Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee
[1],[2],Sherwood,Wed 10-Oct-18,"Ensuite:,1,Intercom,Study,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Split-system Air Conditioning",Massive 2 bedroom,"$1,800",4075,$450 MASSIVE LUXURY UNIT,"Sherwood Residences offers you the perfect opportunity to live in a secure private landscaped environment close to everything including schools, shopping and sporting facilities!",Pet Friendly,https://www.realestate.com.au/property-apartment-qld-sherwood-424775714,"<span class=""rate""></span>",,[424775714],450,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony,Swimming Pool - Inground",Apartment,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424775714&theme=rea.rent,"<span class=""price""></span>",6 Quarry Road,[2],Paul Teoh - Sherwood Residences,JLL QLD Pty Ltd
[1],[2],Sherwood,Available Now,"Intercom,Air Conditioning",Ground floor private unit,"$1,660",4075,$415 per week,Large (80sq.m) high quality ground floor unit with private courtyard and no stairs for access.,Pet Friendly,https://www.realestate.com.au/property-unit-qld-sherwood-424781802,"<span class=""rate""></span>",,[424781802],415,"Garage Spaces:,1,Balcony",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",445 Oxley Road,[2],Damian Bourke,THEONSITEMANAGER - Hendra
[2],[3],Oxley,Sat 27-Oct-18,Air Conditioning,SPACIOUS LUXURIOUS TOWNHOME WITH BALCONY,"$1,840",4075,LUXURIOUS LIVING $460,EXPRESSION OF INTEREST – ,Pet Friendly,https://www.realestate.com.au/property-townhouse-qld-oxley-424787426,"<span class=""rate""></span>",,[424787426],460,"Garage Spaces:,2,Balcony,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",8 Valance Street,[2],Wistaria Mo,THEONSITEMANAGER - Hendra
[2],[3],Richlands,Tue 06-Nov-18,,22/164 Government Rd Richlands,,4077,$380 per week,Alton Edition 22/164 Government Road Richlands,,https://www.realestate.com.au/property-townhouse-qld-richlands-424775610,"<span class=""rate""></span>",,[424775610],380,"Garage Spaces:,2",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",22/164 Government Rd,[3],Emily Hood,Azure Living - QLD
[1],[3],Oxley,Tue 16-Oct-18,,Townhouse in Oxley,"$1,580",4075,$395 per week,This modern townhouse in Oxley has the following features,,https://www.realestate.com.au/property-house-qld-oxley-424794358,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",[424794358],395,"Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",3/10 Costalot Street,[2],Leasing Oxley,Tessa Residential - NINGI
,[3],Inala,Mon 08-Oct-18,"Toilets:,1,Floorboards,Air Conditioning",AIR CONDITIONED MAIN BEDROOM!,"$1,260",4077,$315 per week,"This neat and tidy three bedroom home has an AIR-CONDITIONED main bedroom which is great for shift workers. The bedrooms are spacious  and 1 bedroom has a free standing robe.  The house overlooks a flat, grassy back yard. Close to schools, shops and bus services. Call  our friendly staff today to book in for an inspection!",,https://www.realestate.com.au/property-house-qld-inala-424784758,"<span class=""rate""></span>",,[424784758],315,,House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",25 Rosella Street,[1],Rental Domain,Rental Domain - GOODNA
[2],[3],Richlands,Available Now,"Toilets:,2","Popular Villa in a top location, be quick!","$1,460",4077,$365 per week,"This nearly new contemporary villa is within the prestigious commuity - Villaggio. It's conveniently situated to all the amenities: schools, supermarkets, shopping centres, bus stop and train station:",,https://www.realestate.com.au/property-townhouse-qld-richlands-424794418,"<span class=""rate""></span>",,[424794418],365,"Carport Spaces:,2",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",149/88 littleton rd,[2],Eric Chen,nextrealty.com.au
[2],[3],Richlands,Thu 11-Oct-18,"Ensuite:,1,Toilets:,3",17/15 James Edward St. Richlands,,4077,$365 Weekly,"This spacious townhouse which is close to the Richlands Railway Station, Woolworths, Local pharmacy, McDonald's, Master's, West Brisbane Tennis Centre and Richlands AMF Bowling. Inala Plaza is only 5min drive away. For your ultimate lifestyle, perfect for commuters, only 2 mins to M5 Centenary Highway.",,https://www.realestate.com.au/property-townhouse-qld-richlands-423390954,"<span class=""rate""></span>",,[423390954],365,"Remote Garage,Carport Spaces:,1,Garage Spaces:,1",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",17/15 James Edward Street,[2],Richlands Rise,Australian Property Management Alliance - Mango Hill
[1],[3],Richlands,Wed 23-Oct-19,"Toilets:,3,Air Conditioning",Very Rare Opportunity Under NRAS Scheme - Modern 3 BEDROOM TOWNHOUSE LOCATED IN RICHLANDS,"$1,160",4077,$290 per week,"*****Please noted, Applicant must prove yourself to be eligible to apply this unit. NRAS Reference number is required***** ",,https://www.realestate.com.au/property-townhouse-qld-richlands-424795806,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424795806],290,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",51/83 OLD PROGRESS ROAD,[3],Michael Cai,Raine & Horne - Onsite Sales
[3],[4],Riverhills,Available Now,"Ensuite:,1,Toilets:,1,Study,Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning",IF YOU ARE LOOKING FOR SPACE AND A GRANNY FLAT - THIS HOME IS FOR YOU,,4074,$580 Per Week With A Granny Flat,"When you walk into this property you will feel the sense of space.  Offering a large living room with air conditioning, kitchen meals area with dishwasher and electric cooking.",,https://www.realestate.com.au/property-house-qld-riverhills-424594206,"<span class=""rate""></span>",,[424594206],580,"Secure Parking,Carport Spaces:,1,Garage Spaces:,2,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",38 Tigris St,[4],"Adam Workman,Katy Lightwood",RE/MAX Ignite - RIVERHILLS
