 3878514,"Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! ",[45271],"David Jiang,David Jiang"," 
                       "," 1,
                      "," 0 ,
                        "," 0 years,
                        ",[105077]," 0 ,
                        "," 23 years,
                        "," 
                  ,
                ",Last Update:," No,
                      ",2," 25 years,
                        ",," 
                       "," TBC ,
                        "," 0 ,
                        "," TBC ,
                        ",[375000]," 4.9 ,
                        "," None,
                        ",[899000],"Simple and Easy!
              ", 2,3
 3878757,"Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties",[118131],"Brent Staker,Brent Staker"," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "," 1,
                      "," 11 ,
                        "," 0 years,
                        ",[231000]," 44 ,
                        "," 20 years,
                        "," 
                  ,
                ",Last Update:," yes,
                      ",2," 25 years,
                        ",," Two pools, two BBQs
                       "," 52 ,
                        "," 0 ,
                        "," 95 ,
                        ",[785000]," 5.2 ,
                        "," ,
                        ",[1985000],"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              ", 2,3
pets,office_hour,letting,multiplier,complex_fetures,unit_feature,agent,agreement_term,manager_car,description,agreement_remaining,price,last_update,look_ups,property_id,total_unit,remuneration,income,title,outside_agents,manager_bathroom,manager_bed,agency,office,address,owner_occupy,agreement_age,unit_price
" Yes,
                      "," 0,
                        "," 119 ,
                        "," 6.0 ,
                        "," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "," 
                       ","Paul Kiehne,Paul Kiehne"," 25 years,
                        ", 0,"RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. "," 22 years,
                        ",[2820000],Last Update:," 0 ,
                        ", 3882576," 147 ,
                        ",[187903],[470000],"Business Only - Established and Low Maintenance
              "," 19 ,
                        ",0,0,," 0,
                      "," 
                  ,
                "," 9 ,
                        "," 3 years,
                        ",[0]
" No,
                      "," As per agreements,
                        "," 78 ,
                        "," 5.8 ,
                        "," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "," 
                       ","David Jiang,David Jiang"," 25 years,
                        ", 2,"- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! "," 24 years,
                        ",[3428000],Last Update:," 0 ,
                        ", 3883414," 117 ,
                        ",[172676],[480037],"Big Income Permanent and Small Short Term Mix in Central South Brisbane
              "," 2 ,
                        ",2,3,," 1,
                      "," 
                  ,
                "," 37 ,
                        "," 12 years,
                        ",[640000]
" No,
                      "," None,
                        "," TBC ,
                        "," 4.9 ,
                        "," 
                       "," 
                       ","David Jiang,David Jiang"," 25 years,
                        ", 2,"Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! "," 23 years,
                        ",[899000],Last Update:," 0 ,
                        ", 3878514," TBC ,
                        ",[45271],[105077],"Simple and Easy!
              "," 0 ,
                        ",2,3,," 1,
                      "," 
                  ,
                "," 0 ,
                        "," 0 years,
                        ",[375000]
" Yes,
                      "," No set office hours,
                        "," 22 ,
                        "," 4.5 ,
                        "," Swimming Pool, Barbecue
                       "," 
                       ","Celine Tseng,Celine Tseng"," 25 years,
                        ", 2,," 21 years,
                        ",[1277500],Last Update:," 0 ,
                        ", 3882897," 43 ,
                        ",[68727],[135000],"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              "," 4 ,
                        ",2,3,," 1,
                      "," 
                  ,
                "," 17 ,
                        "," 14 years,
                        ",[670000]
" No,
                      "," 0,
                        "," 22 ,
                        "," 4.4 ,
                        "," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       ","Mark Fluhart,Mark Fluhart"," 25 years,
                        ", 2,"This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. "," 20 years,
                        ",[970000],Last Update:," 0 ,
                        ", 3859839," 31 ,
                        ",[52890],[108884],"LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "," 4 ,
                        ",2,2,," 1,
                      "," 
                  ,
                "," 3 ,
                        "," 18 years,
                        ",[490000]
" No,
                      "," NO,
                        "," TBC ,
                        "," 5.5 ,
                        "," 
                       "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ","Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong"," 25 years,
                        ", 0,"Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! "," 21 years,
                        ",Contact the Sire team,Last Update:," 0 ,
                        ", 3881971," TBC ,
                        ",[104046],[243086],"Great Lifestyle Business
              "," 0 ,
                        ",2,4,," 1,
                      "," 
                  ,
                "," 0 ,
                        "," 9 years,
                        ",[650000]
" yes,
                      "," ,
                        "," 52 ,
                        "," 5.2 ,
                        "," Two pools, two BBQs
                       "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       ","Brent Staker,Brent Staker"," 25 years,
                        ", 2,"Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties"," 20 years,
                        ",[1985000],Last Update:," 0 ,
                        ", 3878757," 95 ,
                        ",[118131],[231000],"Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "," 11 ,
                        ",2,3,," 1,
                      "," 
                  ,
                "," 44 ,
                        "," 0 years,
                        ",[785000]
" Yes,
                      "," None,
                        "," 42 ,
                        "," 0.0 ,
                        "," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "," No unit to buy and no requirement to live onsite.
                       ","Joanne Piercy,Joanne Piercy"," 25 years,
                        ", 0,"Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. "," 23 years,
                        ",[710000],Last Update:," 0 ,
                        ", 3883221," 44 ,
                        ",[49600],[131612],"Business Only Mangement Rights in Prime Location
              "," 1 ,
                        ",0,0,," 0,
                      "," 
                  ,
                "," 1 ,
                        "," 2 years,
                        ",[0]
total_unit,price,last_update,remuneration,complex_fetures,agreement_remaining,unit_feature,agency,office,office_hour,outside_agents,manager_bed,owner_occupy,pets,agent,agreement_term,title,address,income,multiplier,letting,look_ups,manager_car,unit_price,manager_bathroom,property_id,description,agreement_age
" 147 ,
                        ",[2820000],Last Update:,[187903]," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "," 22 years,
                        "," 
                       ",," 0,
                      "," 0,
                        "," 19 ,
                        ",0," 9 ,
                        "," Yes,
                      ","Paul Kiehne,Paul Kiehne"," 25 years,
                        ","Business Only - Established and Low Maintenance
              "," 
                  ,
                ",[470000]," 6.0 ,
                        "," 119 ,
                        "," 0 ,
                        ", 0,[0],0, 3882576,"RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. "," 3 years,
                        "
" 117 ,
                        ",[3428000],Last Update:,[172676]," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "," 24 years,
                        "," 
                       ",," 1,
                      "," As per agreements,
                        "," 2 ,
                        ",3," 37 ,
                        "," No,
                      ","David Jiang,David Jiang"," 25 years,
                        ","Big Income Permanent and Small Short Term Mix in Central South Brisbane
              "," 
                  ,
                ",[480037]," 5.8 ,
                        "," 78 ,
                        "," 0 ,
                        ", 2,[640000],2, 3883414,"- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! "," 12 years,
                        "
" 44 ,
                        ",[710000],Last Update:,[49600]," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "," 23 years,
                        "," No unit to buy and no requirement to live onsite.
                       ",," 0,
                      "," None,
                        "," 1 ,
                        ",0," 1 ,
                        "," Yes,
                      ","Joanne Piercy,Joanne Piercy"," 25 years,
                        ","Business Only Mangement Rights in Prime Location
              "," 
                  ,
                ",[131612]," 0.0 ,
                        "," 42 ,
                        "," 0 ,
                        ", 0,[0],0, 3883221,"Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. "," 2 years,
                        "
" 31 ,
                        ",[970000],Last Update:,[52890]," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "," 20 years,
                        "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       ",," 1,
                      "," 0,
                        "," 4 ,
                        ",2," 3 ,
                        "," No,
                      ","Mark Fluhart,Mark Fluhart"," 25 years,
                        ","LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "," 
                  ,
                ",[108884]," 4.4 ,
                        "," 22 ,
                        "," 0 ,
                        ", 2,[490000],2, 3859839,"This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. "," 18 years,
                        "
" TBC ,
                        ",Contact the Sire team,Last Update:,[104046]," 
                       "," 21 years,
                        "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ",," 1,
                      "," NO,
                        "," 0 ,
                        ",4," 0 ,
                        "," No,
                      ","Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong"," 25 years,
                        ","Great Lifestyle Business
              "," 
                  ,
                ",[243086]," 5.5 ,
                        "," TBC ,
                        "," 0 ,
                        ", 0,[650000],2, 3881971,"Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! "," 9 years,
                        "
" 95 ,
                        ",[1985000],Last Update:,[118131]," Two pools, two BBQs
                       "," 20 years,
                        "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       ",," 1,
                      "," ,
                        "," 11 ,
                        ",3," 44 ,
                        "," yes,
                      ","Brent Staker,Brent Staker"," 25 years,
                        ","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "," 
                  ,
                ",[231000]," 5.2 ,
                        "," 52 ,
                        "," 0 ,
                        ", 2,[785000],2, 3878757,"Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties"," 0 years,
                        "
" 43 ,
                        ",[1277500],Last Update:,[68727]," Swimming Pool, Barbecue
                       "," 21 years,
                        "," 
                       ",," 1,
                      "," No set office hours,
                        "," 4 ,
                        ",3," 17 ,
                        "," Yes,
                      ","Celine Tseng,Celine Tseng"," 25 years,
                        ","CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              "," 
                  ,
                ",[135000]," 4.5 ,
                        "," 22 ,
                        "," 0 ,
                        ", 2,[670000],2, 3882897,," 14 years,
                        "
" TBC ,
                        ",[899000],Last Update:,[45271]," 
                       "," 23 years,
                        "," 
                       ",," 1,
                      "," None,
                        "," 0 ,
                        ",3," 0 ,
                        "," No,
                      ","David Jiang,David Jiang"," 25 years,
                        ","Simple and Easy!
              "," 
                  ,
                ",[105077]," 4.9 ,
                        "," TBC ,
                        "," 0 ,
                        ", 2,[375000],2, 3878514,"Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! "," 0 years,
                        "
multiplier,unit_price,agreement_remaining,last_update,agreement_term,pets,owner_occupy,total_unit,manager_bathroom,look_ups,agency,property_id,price,remuneration,complex_fetures,agreement_age,address,office,office_hour,income,unit_feature,manager_bed,outside_agents,manager_car,description,title,agent,letting
" 6.0 ,
                        ",[0]," 22 years,
                        ",Last Update:," 25 years,
                        "," Yes,
                      "," 9 ,
                        "," 147 ,
                        ",0," 0 ,
                        ",, 3882576,[2820000],[187903]," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "," 3 years,
                        "," 
                  ,
                "," 0,
                      "," 0,
                        ",[470000]," 
                       ",0," 19 ,
                        ", 0,"RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. ","Business Only - Established and Low Maintenance
              ","Paul Kiehne,Paul Kiehne"," 119 ,
                        "
" 4.5 ,
                        ",[670000]," 21 years,
                        ",Last Update:," 25 years,
                        "," Yes,
                      "," 17 ,
                        "," 43 ,
                        ",2," 0 ,
                        ",, 3882897,[1277500],[68727]," Swimming Pool, Barbecue
                       "," 14 years,
                        "," 
                  ,
                "," 1,
                      "," No set office hours,
                        ",[135000]," 
                       ",3," 4 ,
                        ", 2,,"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              ","Celine Tseng,Celine Tseng"," 22 ,
                        "
" 5.2 ,
                        ",[785000]," 20 years,
                        ",Last Update:," 25 years,
                        "," yes,
                      "," 44 ,
                        "," 95 ,
                        ",2," 0 ,
                        ",, 3878757,[1985000],[118131]," Two pools, two BBQs
                       "," 0 years,
                        "," 
                  ,
                "," 1,
                      "," ,
                        ",[231000]," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       ",3," 11 ,
                        ", 2,"Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              ","Brent Staker,Brent Staker"," 52 ,
                        "
" 5.5 ,
                        ",[650000]," 21 years,
                        ",Last Update:," 25 years,
                        "," No,
                      "," 0 ,
                        "," TBC ,
                        ",2," 0 ,
                        ",, 3881971,Contact the Sire team,[104046]," 
                       "," 9 years,
                        "," 
                  ,
                "," 1,
                      "," NO,
                        ",[243086]," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ",4," 0 ,
                        ", 0,"Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! ","Great Lifestyle Business
              ","Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong"," TBC ,
                        "
